booking_id,tournament_id,match_id,team_id,player_id,minute_label,minute_regulation,minute_stoppage,match_period,yellow_card,red_card,second_yellow_card,sending_off
B-0001,WC-1970,M-1970-01,T-72,P-33189,30',30,0,first half,1,0,0,0
B-0002,WC-1970,M-1970-01,T-72,P-43733,31',31,0,first half,1,0,0,0
B-0003,WC-1970,M-1970-01,T-72,P-52906,34',34,0,first half,1,0,0,0
B-0004,WC-1970,M-1970-01,T-46,P-64553,60',60,0,second half,1,0,0,0
B-0005,WC-1970,M-1970-01,T-72,P-70408,72',72,0,second half,1,0,0,0
B-0006,WC-1970,M-1970-06,T-74,P-20172,56',56,0,second half,1,0,0,0
B-0007,WC-1970,M-1970-07,T-09,P-04354,31',31,0,first half,1,0,0,0
B-0008,WC-1970,M-1970-11,T-61,P-41601,82',82,0,second half,1,0,0,0
B-0009,WC-1970,M-1970-11,T-21,P-25708,82',82,0,second half,1,0,0,0
B-0010,WC-1970,M-1970-13,T-27,P-54377,13',13,0,first half,1,0,0,0
B-0011,WC-1970,M-1970-13,T-27,P-60582,33',33,0,first half,1,0,0,0
B-0012,WC-1970,M-1970-13,T-27,P-08268,45',45,0,first half,1,0,0,0
B-0013,WC-1970,M-1970-13,T-27,P-10096,57',57,0,second half,1,0,0,0
B-0014,WC-1970,M-1970-14,T-40,P-08449,38',38,0,first half,1,0,0,0
B-0015,WC-1970,M-1970-14,T-74,P-61494,72',72,0,second half,1,0,0,0
B-0016,WC-1970,M-1970-14,T-40,P-87631,89',89,0,second half,1,0,0,0
B-0017,WC-1970,M-1970-15,T-28,P-88728,30',30,0,first half,1,0,0,0
B-0018,WC-1970,M-1970-17,T-72,P-98262,90',90,0,second half,1,0,0,0
B-0019,WC-1970,M-1970-19,T-61,P-26224,44',44,0,first half,1,0,0,0
B-0020,WC-1970,M-1970-19,T-61,P-61942,78',78,0,second half,1,0,0,0
B-0021,WC-1970,M-1970-21,T-06,P-94646,15',15,0,first half,1,0,0,0
B-0022,WC-1970,M-1970-21,T-46,P-07812,19',19,0,first half,1,0,0,0
B-0023,WC-1970,M-1970-21,T-46,P-64553,29',29,0,first half,1,0,0,0
B-0024,WC-1970,M-1970-21,T-06,P-98745,29',29,0,first half,1,0,0,0
B-0025,WC-1970,M-1970-21,T-06,P-42364,62',62,0,second half,1,0,0,0
B-0026,WC-1970,M-1970-22,T-40,P-87631,62',62,0,second half,1,0,0,0
B-0027,WC-1970,M-1970-22,T-40,P-92635,67',67,0,second half,1,0,0,0
B-0028,WC-1970,M-1970-22,T-41,P-92154,90',90,0,second half,1,0,0,0
B-0029,WC-1970,M-1970-23,T-21,P-49133,78',78,0,second half,1,0,0,0
B-0030,WC-1970,M-1970-26,T-41,P-62214,67',67,0,second half,1,0,0,0
B-0031,WC-1970,M-1970-27,T-84,P-83747,9',9,0,first half,1,0,0,0
B-0032,WC-1970,M-1970-27,T-84,P-83931,17',17,0,first half,1,0,0,0
B-0033,WC-1970,M-1970-27,T-72,P-33189,32',32,0,first half,1,0,0,0
B-0034,WC-1970,M-1970-27,T-84,P-63224,59',59,0,second half,1,0,0,0
B-0035,WC-1970,M-1970-27,T-72,P-17002,76',76,0,second half,1,0,0,0
B-0036,WC-1970,M-1970-27,T-72,P-02102,118',118,0,"extra time, second half",1,0,0,0
B-0037,WC-1970,M-1970-28,T-28,P-88728,10',10,0,first half,1,0,0,0
B-0038,WC-1970,M-1970-28,T-86,P-72441,18',18,0,first half,1,0,0,0
