goal_id,tournament_id,match_id,team_id,player_id,minute_label,minute_regulation,minute_stoppage,match_period,own_goal,penalty
G-0001,WC-1930,M-1930-01,T-30,P-05470,19',19,0,first half,0,0
G-0002,WC-1930,M-1930-01,T-30,P-99087,40',40,0,first half,0,0
G-0003,WC-1930,M-1930-01,T-30,P-60620,43',43,0,first half,0,0
G-0004,WC-1930,M-1930-01,T-46,P-94135,70',70,0,second half,0,0
G-0005,WC-1930,M-1930-01,T-30,P-60620,87',87,0,second half,0,0
G-0006,WC-1930,M-1930-02,T-83,P-65185,23',23,0,first half,0,0
G-0007,WC-1930,M-1930-02,T-83,P-37361,45',45,0,first half,0,0
G-0008,WC-1930,M-1930-02,T-83,P-71973,69',69,0,second half,0,0
G-0009,WC-1930,M-1930-03,T-87,P-43349,21',21,0,first half,0,0
G-0010,WC-1930,M-1930-03,T-87,P-43734,30',30,0,first half,0,0
G-0011,WC-1930,M-1930-03,T-09,P-91171,62',62,0,second half,0,0
G-0012,WC-1930,M-1930-04,T-61,P-91295,1',1,0,first half,0,0
G-0013,WC-1930,M-1930-04,T-56,P-44010,75',75,0,second half,0,0
G-0014,WC-1930,M-1930-04,T-61,P-18615,79',79,0,second half,0,0
G-0015,WC-1930,M-1930-04,T-61,P-70294,89',89,0,second half,0,0
G-0016,WC-1930,M-1930-05,T-03,P-25760,81',81,0,second half,0,0
G-0017,WC-1930,M-1930-06,T-13,P-61338,3',3,0,first half,0,0
G-0018,WC-1930,M-1930-06,T-13,P-89481,52',52,0,second half,1,0
G-0019,WC-1930,M-1930-06,T-13,P-61338,65',65,0,second half,0,0
G-0020,WC-1930,M-1930-07,T-87,P-43734,60',60,0,second half,0,0
G-0021,WC-1930,M-1930-07,T-87,P-75929,65',65,0,second half,0,0
G-0022,WC-1930,M-1930-07,T-87,P-43734,67',67,0,second half,0,0
G-0023,WC-1930,M-1930-07,T-87,P-33565,85',85,0,second half,0,0
G-0024,WC-1930,M-1930-08,T-83,P-71973,10',10,0,first half,0,0
G-0025,WC-1930,M-1930-08,T-83,P-71973,15',15,0,first half,0,0
G-0026,WC-1930,M-1930-08,T-83,P-71973,50',50,0,second half,0,0
G-0027,WC-1930,M-1930-09,T-84,P-54697,65',65,0,second half,0,0
G-0028,WC-1930,M-1930-10,T-13,P-08459,67',67,0,second half,0,0
G-0029,WC-1930,M-1930-11,T-03,P-56486,8',8,0,first half,0,0
G-0030,WC-1930,M-1930-11,T-03,P-76546,12',12,0,first half,0,0
G-0031,WC-1930,M-1930-11,T-03,P-56486,17',17,0,first half,0,0
G-0032,WC-1930,M-1930-11,T-46,P-89481,42',42,0,first half,0,1
G-0033,WC-1930,M-1930-11,T-03,P-37326,53',53,0,second half,0,0
G-0034,WC-1930,M-1930-11,T-03,P-76546,55',55,0,second half,0,0
G-0035,WC-1930,M-1930-11,T-46,P-89481,65',65,0,second half,0,0
G-0036,WC-1930,M-1930-11,T-46,P-31066,75',75,0,second half,0,0
G-0037,WC-1930,M-1930-11,T-03,P-56486,80',80,0,second half,0,0
G-0038,WC-1930,M-1930-12,T-09,P-83987,37',37,0,first half,0,0
G-0039,WC-1930,M-1930-12,T-09,P-91171,57',57,0,second half,0,0
G-0040,WC-1930,M-1930-12,T-09,P-83987,73',73,0,second half,0,0
G-0041,WC-1930,M-1930-12,T-09,P-91171,83',83,0,second half,0,0
G-0042,WC-1930,M-1930-13,T-55,P-06201,40',40,0,first half,0,0
G-0043,WC-1930,M-1930-14,T-84,P-38674,7',7,0,first half,0,0
G-0044,WC-1930,M-1930-14,T-84,P-44201,26',26,0,first half,0,0
G-0045,WC-1930,M-1930-14,T-84,P-57352,31',31,0,first half,0,0
G-0046,WC-1930,M-1930-14,T-84,P-18628,35',35,0,first half,0,0
G-0047,WC-1930,M-1930-15,T-03,P-56486,12',12,0,first half,0,0
G-0048,WC-1930,M-1930-15,T-03,P-56486,13',13,0,first half,0,0
G-0049,WC-1930,M-1930-15,T-13,P-08459,15',15,0,first half,0,0
G-0050,WC-1930,M-1930-15,T-03,P-23897,51',51,0,second half,0,0
G-0051,WC-1930,M-1930-16,T-03,P-25760,20',20,0,first half,0,0
G-0052,WC-1930,M-1930-16,T-03,P-44916,56',56,0,second half,0,0
G-0053,WC-1930,M-1930-16,T-03,P-56486,69',69,0,second half,0,0
G-0054,WC-1930,M-1930-16,T-03,P-70166,80',80,0,second half,0,0
G-0055,WC-1930,M-1930-16,T-03,P-70166,85',85,0,second half,0,0
G-0056,WC-1930,M-1930-16,T-03,P-56486,87',87,0,second half,0,0
G-0057,WC-1930,M-1930-16,T-83,P-06424,89',89,0,second half,0,0
G-0058,WC-1930,M-1930-17,T-87,P-33565,4',4,0,first half,0,0
G-0059,WC-1930,M-1930-17,T-84,P-18628,18',18,0,first half,0,0
G-0060,WC-1930,M-1930-17,T-84,P-57352,20',20,0,first half,0,0
G-0061,WC-1930,M-1930-17,T-84,P-57352,31',31,0,first half,0,0
G-0062,WC-1930,M-1930-17,T-84,P-31959,61',61,0,second half,0,0
G-0063,WC-1930,M-1930-17,T-84,P-18628,67',67,0,second half,0,0
G-0064,WC-1930,M-1930-17,T-84,P-18628,72',72,0,second half,0,0
G-0065,WC-1930,M-1930-18,T-84,P-38674,12',12,0,first half,0,0
G-0066,WC-1930,M-1930-18,T-03,P-70166,20',20,0,first half,0,0
G-0067,WC-1930,M-1930-18,T-03,P-56486,37',37,0,first half,0,0
G-0068,WC-1930,M-1930-18,T-84,P-18628,57',57,0,second half,0,0
