group_standing_id,group_id,position,team_id,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,advanced
1,1,1,T-03,3,3,0,0,10,4,6,6,1
2,1,2,T-13,3,2,0,1,5,3,2,4,0
3,1,3,T-30,3,1,0,2,4,3,1,2,0
4,1,4,T-46,3,0,0,3,4,13,-9,0,0
5,2,1,T-87,2,2,0,0,6,1,5,4,1
6,2,2,T-09,2,1,0,1,5,2,3,2,0
7,2,3,T-07,2,0,0,2,0,8,-8,0,0
8,3,1,T-84,2,2,0,0,5,0,5,4,1
9,3,2,T-61,2,1,0,1,3,5,-2,2,0
10,3,3,T-56,2,0,0,2,1,4,-3,0,0
11,4,1,T-83,2,2,0,0,6,0,6,4,1
12,4,2,T-55,2,1,0,1,1,3,-2,2,0
13,4,3,T-06,2,0,0,2,0,4,-4,0,0
14,5,1,T-09,3,2,1,0,8,2,6,5,1
15,5,2,T-87,3,2,0,1,7,3,4,4,0
16,5,3,T-75,3,1,1,1,4,6,-2,3,0
17,5,4,T-46,3,0,0,3,2,10,-8,0,0
18,6,1,T-73,3,3,0,0,6,1,5,6,1
19,6,2,T-28,3,1,0,2,2,2,0,2,0
20,6,3,T-13,3,1,0,2,5,6,-1,2,0
21,6,4,T-83,3,1,0,2,4,8,-4,2,0
22,7,1,T-74,2,1,1,0,5,4,1,3,1
23,7,2,T-41,2,1,0,1,4,3,1,2,0
24,7,3,T-55,2,0,1,1,2,4,-2,1,0
25,8,1,T-84,1,1,0,0,8,0,8,2,1
26,8,2,T-07,1,0,0,1,0,8,-8,0,0
27,9,1,T-84,3,2,1,0,7,5,2,5,1
28,9,2,T-09,3,2,0,1,14,4,10,4,0
29,9,3,T-74,3,1,0,2,6,11,-5,2,0
30,9,4,T-73,3,0,1,2,4,11,-7,1,0
31,10,1,T-09,2,1,1,0,6,1,5,3,1
32,10,2,T-87,2,1,1,0,2,1,1,3,1
33,10,3,T-30,2,1,0,1,3,3,0,2,0
34,10,4,T-46,2,0,0,2,2,8,-6,0,0
35,11,1,T-36,2,2,0,0,17,3,14,4,1
36,11,2,T-86,2,1,0,1,7,9,-2,2,1
37,11,3,T-80,2,1,0,1,8,4,4,2,0
38,11,4,T-71,2,0,0,2,0,16,-16,0,0
39,12,1,T-84,2,2,0,0,9,0,9,4,1
40,12,2,T-05,2,2,0,0,6,0,6,4,1
41,12,3,T-21,2,0,0,2,0,7,-7,0,0
42,12,4,T-64,2,0,0,2,0,8,-8,0,0
43,13,1,T-28,2,1,1,0,6,4,2,3,1
44,13,2,T-75,2,1,0,1,2,3,-1,2,1
45,13,3,T-41,2,1,0,1,5,3,2,2,0
46,13,4,T-06,2,0,1,1,5,8,-3,1,0
47,14,1,T-86,3,1,2,0,7,5,2,4,1
48,14,2,T-52,3,1,1,1,4,5,-1,3,1
49,14,3,T-21,3,1,1,1,8,4,4,3,0
50,14,4,T-03,3,1,0,2,5,10,-5,2,0
51,15,1,T-30,3,2,0,1,11,7,4,4,1
52,15,2,T-87,3,1,2,0,7,6,1,4,1
53,15,3,T-55,3,1,1,1,9,12,-3,3,0
54,15,4,T-64,3,0,1,2,4,6,-2,1,0
55,16,1,T-74,3,2,1,0,5,1,4,5,1
56,16,2,T-85,3,0,3,0,2,2,0,3,1
57,16,3,T-36,3,1,1,1,6,3,3,3,0
58,16,4,T-46,3,0,1,2,1,8,-7,1,0
59,17,1,T-09,3,2,1,0,5,0,5,5,1
60,17,2,T-72,3,1,1,1,4,4,0,3,1
61,17,3,T-28,3,0,3,0,4,4,0,3,0
62,17,4,T-05,3,0,1,2,2,7,-5,1,0
63,18,1,T-72,3,2,1,0,8,5,3,5,1
64,18,2,T-87,3,2,0,1,8,3,5,4,1
65,18,3,T-84,3,1,0,2,4,6,-2,2,0
66,18,4,T-16,3,0,1,2,5,11,-6,1,0
67,19,1,T-86,3,2,1,0,4,1,3,5,1
68,19,2,T-13,3,2,0,1,5,3,2,4,1
69,19,3,T-41,3,1,1,1,3,2,1,3,0
70,19,4,T-75,3,0,0,3,2,8,-6,0,0
71,20,1,T-09,3,2,1,0,4,1,3,5,1
72,20,2,T-21,3,1,1,1,2,3,-1,3,1
73,20,3,T-46,3,1,0,2,3,4,-1,2,0
74,20,4,T-73,3,1,0,2,2,3,-1,2,0
75,21,1,T-36,3,2,1,0,8,2,6,5,1
76,21,2,T-28,3,1,1,1,4,3,1,3,1
77,21,3,T-03,3,1,1,1,2,3,-1,3,0
78,21,4,T-10,3,0,1,2,1,7,-6,1,0
79,22,1,T-28,3,2,1,0,4,0,4,5,1
80,22,2,T-84,3,1,2,0,2,1,1,4,1
81,22,3,T-46,3,0,2,1,1,3,-2,2,0
82,22,4,T-30,3,0,1,2,2,5,-3,1,0
83,23,1,T-86,3,2,1,0,7,1,6,5,1
84,23,2,T-03,3,2,1,0,4,1,3,5,1
85,23,3,T-73,3,1,0,2,4,5,-1,2,0
86,23,4,T-75,3,0,0,3,1,9,-8,0,0
87,24,1,T-58,3,3,0,0,9,2,7,6,1
88,24,2,T-36,3,2,0,1,7,5,2,4,1
89,24,3,T-09,3,1,0,2,4,6,-2,2,0
90,24,4,T-10,3,0,0,3,1,8,-7,0,0
91,25,1,T-72,3,3,0,0,6,1,5,6,1
92,25,2,T-51,3,1,1,1,2,4,-2,3,1
93,25,3,T-41,3,1,0,2,2,2,0,2,0
94,25,4,T-13,3,0,1,2,2,5,-3,1,0
95,26,1,T-72,3,2,1,0,6,1,5,5,1
96,26,2,T-46,3,2,1,0,5,0,5,5,1
97,26,3,T-06,3,1,0,2,4,5,-1,2,0
98,26,4,T-27,3,0,0,3,0,9,-9,0,0
99,27,1,T-41,3,1,2,0,1,0,1,4,1
100,27,2,T-84,3,1,1,1,2,1,1,3,1
101,27,3,T-74,3,1,1,1,2,2,0,3,0
102,27,4,T-40,3,0,2,1,1,3,-2,2,0
103,28,1,T-09,3,3,0,0,8,3,5,6,1
104,28,2,T-28,3,2,0,1,2,1,1,4,1
105,28,3,T-61,3,1,0,2,4,5,-1,2,0
106,28,4,T-21,3,0,0,3,2,7,-5,0,0
107,29,1,T-86,3,3,0,0,10,4,6,6,1
108,29,2,T-56,3,2,0,1,7,5,2,4,1
109,29,3,T-10,3,0,1,2,5,9,-4,1,0
110,29,4,T-47,3,0,1,2,2,6,-4,1,0
111,30,1,T-24,3,2,1,0,4,1,3,5,1
112,30,2,T-86,3,2,0,1,4,1,3,4,1
113,30,3,T-13,3,0,2,1,1,2,-1,2,0
114,30,4,T-04,3,0,1,2,0,5,-5,1,0
115,31,1,T-87,3,1,2,0,10,1,9,4,1
116,31,2,T-09,3,1,2,0,3,0,3,4,1
117,31,3,T-64,3,1,2,0,3,1,2,4,0
118,31,4,T-88,3,0,0,3,0,14,-14,0,0
119,32,1,T-48,3,2,1,0,6,1,5,5,1
120,32,2,T-74,3,1,2,0,3,0,3,4,1
121,32,3,T-10,3,0,2,1,2,5,-3,2,0
122,32,4,T-84,3,0,1,2,1,6,-5,1,0
123,33,1,T-57,3,3,0,0,12,3,9,6,1
124,33,2,T-03,3,1,1,1,7,5,2,3,1
125,33,3,T-41,3,1,1,1,5,4,1,3,0
126,33,4,T-34,3,0,0,3,2,14,-12,0,0
127,34,1,T-48,3,3,0,0,8,0,8,6,1
128,34,2,T-09,3,2,0,1,3,3,0,4,1
129,34,3,T-24,3,0,1,2,1,4,-3,1,0
130,34,4,T-03,3,0,1,2,2,7,-5,1,0
131,35,1,T-86,3,3,0,0,7,2,5,6,1
132,35,2,T-57,3,2,0,1,3,2,1,4,1
133,35,3,T-74,3,1,0,2,4,6,-2,2,0
134,35,4,T-87,3,0,0,3,2,6,-4,0,0
135,36,1,T-41,3,3,0,0,6,2,4,6,1
136,36,2,T-03,3,2,0,1,4,3,1,4,1
137,36,3,T-30,3,1,0,2,5,5,0,2,0
138,36,4,T-36,3,0,0,3,3,8,-5,0,0
139,37,1,T-57,3,2,1,0,4,1,3,5,1
140,37,2,T-86,3,1,2,0,6,0,6,4,1
141,37,3,T-79,3,1,1,1,3,2,1,3,0
142,37,4,T-46,3,0,0,3,2,12,-10,0,0
143,38,1,T-05,3,2,0,1,3,2,1,4,1
144,38,2,T-09,3,1,2,0,2,1,1,4,1
145,38,3,T-73,3,1,1,1,2,2,0,3,0
146,38,4,T-74,3,0,1,2,1,3,-2,1,0
147,39,1,T-56,3,2,1,0,7,2,5,5,1
148,39,2,T-48,3,1,1,1,5,3,2,3,1
149,39,3,T-64,3,1,1,1,5,6,-1,3,0
150,39,4,T-38,3,0,1,2,2,8,-6,1,0
151,40,1,T-48,3,2,1,0,9,4,5,5,1
152,40,2,T-41,3,1,1,1,2,2,0,3,1
153,40,3,T-86,3,0,2,1,4,5,-1,2,0
154,40,4,T-05,3,1,0,2,4,8,-4,2,0
155,41,1,T-03,3,2,1,0,8,0,8,5,1
156,41,2,T-09,3,2,1,0,6,1,5,5,1
157,41,3,T-57,3,1,0,2,2,5,-3,2,0
158,41,4,T-56,3,0,0,3,0,10,-10,0,0
159,42,1,T-57,3,1,2,0,5,1,4,4,1
160,42,2,T-41,3,0,3,0,2,2,0,3,1
161,42,3,T-11,3,0,3,0,1,1,0,3,0
162,42,4,T-56,3,0,2,1,2,6,-4,2,0
163,43,1,T-86,3,2,0,1,6,3,3,4,1
164,43,2,T-05,3,2,0,1,3,1,2,4,1
165,43,3,T-01,3,2,0,1,5,5,0,4,0
166,43,4,T-13,3,0,0,3,3,8,-5,0,0
167,44,1,T-06,3,2,1,0,3,1,2,5,1
168,44,2,T-03,3,2,0,1,6,2,4,4,1
169,44,3,T-36,3,1,1,1,12,6,6,3,0
170,44,4,T-27,3,0,0,3,1,13,-12,0,0
171,45,1,T-28,3,3,0,0,6,1,5,6,1
172,45,2,T-30,3,1,1,1,6,5,1,3,1
173,45,3,T-21,3,0,2,1,2,4,-2,2,0
174,45,4,T-45,3,0,1,2,2,6,-4,1,0
175,46,1,T-52,3,1,2,0,2,1,1,4,1
176,46,2,T-73,3,1,1,1,3,3,0,3,1
177,46,3,T-87,3,1,1,1,2,2,0,3,0
178,46,4,T-35,3,0,2,1,2,3,-1,2,0
179,47,1,T-09,3,3,0,0,10,2,8,6,1
180,47,2,T-72,3,1,1,1,6,4,2,3,1
181,47,3,T-64,3,1,1,1,8,8,0,3,0
182,47,4,T-49,3,0,0,3,2,12,-10,0,0
183,48,1,T-57,2,1,1,0,3,0,3,3,1
184,48,2,T-72,2,1,1,0,1,0,1,3,0
185,48,3,T-06,2,0,0,2,0,4,-4,0,0
186,49,1,T-86,2,1,1,0,2,1,1,3,1
187,49,2,T-28,2,0,2,0,0,0,0,2,0
188,49,3,T-73,2,0,1,1,1,2,-1,1,0
189,50,1,T-41,2,2,0,0,5,3,2,4,1
190,50,2,T-09,2,1,0,1,5,4,1,2,0
191,50,3,T-03,2,0,0,2,2,5,-3,0,0
192,51,1,T-30,2,2,0,0,5,1,4,4,1
193,51,2,T-05,2,0,1,1,2,3,-1,1,0
194,51,3,T-52,2,0,1,1,3,6,-3,1,0
195,52,1,T-03,3,2,1,0,6,2,4,5,1
196,52,2,T-41,3,1,2,0,5,4,1,4,1
197,52,3,T-10,3,0,2,1,2,4,-2,2,1
198,52,4,T-71,3,0,1,2,4,7,-3,1,0
199,53,1,T-46,3,2,1,0,4,2,2,5,1
200,53,2,T-55,3,1,2,0,4,3,1,4,1
201,53,3,T-06,3,1,1,1,5,5,0,3,1
202,53,4,T-39,3,0,0,3,1,4,-3,0,0
203,54,1,T-72,3,2,1,0,9,1,8,5,1
204,54,2,T-30,3,2,1,0,5,1,4,5,1
205,54,3,T-36,3,1,0,2,2,9,-7,2,0
206,54,4,T-12,3,0,0,3,0,5,-5,0,0
207,55,1,T-09,3,3,0,0,5,0,5,6,1
208,55,2,T-73,3,2,0,1,5,2,3,4,1
209,55,3,T-52,3,0,1,2,2,6,-4,1,0
210,55,4,T-01,3,0,1,2,1,5,-4,1,0
211,56,1,T-22,3,3,0,0,9,1,8,6,1
212,56,2,T-86,3,1,1,1,3,4,-1,3,1
213,56,3,T-84,3,0,2,1,2,7,-5,2,1
214,56,4,T-64,3,0,1,2,1,3,-2,1,0
215,57,1,T-47,3,1,2,0,3,1,2,4,1
216,57,2,T-28,3,1,1,1,3,1,2,3,1
217,57,3,T-57,3,1,1,1,1,3,-2,3,1
218,57,4,T-58,3,1,0,2,2,4,-2,2,0
219,58,1,T-41,3,3,0,0,4,0,4,6,1
220,58,2,T-21,3,2,0,1,6,3,3,4,1
221,58,3,T-05,3,1,0,2,2,3,-1,2,0
222,58,4,T-83,3,0,0,3,2,8,-6,0,0
223,59,1,T-11,3,2,0,1,3,5,-2,4,1
224,59,2,T-61,3,1,1,1,4,3,1,3,1
225,59,3,T-03,3,1,1,1,3,2,1,3,1
226,59,4,T-72,3,1,0,2,4,4,0,2,0
227,60,1,T-09,3,3,0,0,4,1,3,6,1
228,60,2,T-17,3,2,0,1,3,2,1,4,1
229,60,3,T-64,3,1,0,2,2,3,-1,2,0
230,60,4,T-74,3,0,0,3,3,6,-3,0,0
231,61,1,T-86,3,2,1,0,10,3,7,5,1
232,61,2,T-87,3,2,0,1,6,5,1,4,1
233,61,3,T-16,3,1,1,1,3,2,1,3,1
234,61,4,T-82,3,0,0,3,2,11,-9,0,0
235,62,1,T-73,3,2,1,0,5,2,3,5,1
236,62,2,T-06,3,2,0,1,6,3,3,4,1
237,62,3,T-84,3,1,1,1,2,3,-1,3,1
238,62,4,T-71,3,0,0,3,1,6,-5,0,0
239,63,1,T-28,3,1,2,0,2,1,1,4,1
240,63,2,T-60,3,0,3,0,2,2,0,3,1
241,63,3,T-48,3,0,3,0,2,2,0,3,1
242,63,4,T-26,3,0,2,1,1,2,-1,2,0
255,67,1,T-61,3,2,0,1,5,5,0,6,1
256,67,2,T-75,3,1,1,1,5,4,1,4,1
257,67,3,T-83,3,1,1,1,3,3,0,4,1
258,67,4,T-16,3,1,0,2,4,5,-1,3,0
259,68,1,T-09,3,2,1,0,6,1,5,7,1
260,68,2,T-74,3,1,2,0,6,4,2,5,1
261,68,3,T-62,3,1,0,2,7,6,1,3,0
262,68,4,T-11,3,0,1,2,3,11,-8,1,0
263,69,1,T-31,3,2,1,0,5,3,2,7,1
264,69,2,T-73,3,1,2,0,6,4,2,5,1
265,69,3,T-71,3,0,2,1,4,5,-1,2,0
266,69,4,T-07,3,0,1,2,1,4,-3,1,0
267,70,1,T-50,3,2,0,1,6,2,4,6,1
268,70,2,T-10,3,2,0,1,6,3,3,6,1
269,70,3,T-03,3,2,0,1,6,3,3,6,1
270,70,4,T-33,3,0,0,3,0,10,-10,0,0
271,71,1,T-46,3,1,1,1,3,3,0,4,1
272,71,2,T-60,3,1,1,1,2,2,0,4,1
273,71,3,T-41,3,1,1,1,2,2,0,4,1
274,71,4,T-53,3,1,1,1,1,1,0,4,0
275,72,1,T-48,3,2,0,1,4,3,1,6,1
276,72,2,T-63,3,2,0,1,4,3,1,6,1
277,72,3,T-06,3,2,0,1,2,1,1,6,1
278,72,4,T-47,3,0,0,3,2,5,-3,0,0
291,76,1,T-09,3,2,0,1,6,3,3,6,1
292,76,2,T-53,3,1,2,0,5,4,1,5,1
