group_id,tournament_id,tournament_name,stage_number,stage_name,group_name,count_teams
G-1,WC-1930,1930 FIFA Men's World Cup,1,group stage,Group 1,4
G-2,WC-1930,1930 FIFA Men's World Cup,1,group stage,Group 2,3
G-3,WC-1930,1930 FIFA Men's World Cup,1,group stage,Group 3,3
G-4,WC-1930,1930 FIFA Men's World Cup,1,group stage,Group 4,3
G-5,WC-1950,1950 FIFA Men's World Cup,1,first round,Group 1,4
G-6,WC-1950,1950 FIFA Men's World Cup,1,first round,Group 2,4
G-7,WC-1950,1950 FIFA Men's World Cup,1,first round,Group 3,3
G-8,WC-1950,1950 FIFA Men's World Cup,1,first round,Group 4,2
G-9,WC-1950,1950 FIFA Men's World Cup,2,final round,Group 1,4
G-10,WC-1954,1954 FIFA Men's World Cup,1,group stage,Group 1,4
G-11,WC-1954,1954 FIFA Men's World Cup,1,group stage,Group 2,4
G-12,WC-1954,1954 FIFA Men's World Cup,1,group stage,Group 3,4
G-13,WC-1954,1954 FIFA Men's World Cup,1,group stage,Group 4,4
G-14,WC-1958,1958 FIFA Men's World Cup,1,group stage,Group 1,4
G-15,WC-1958,1958 FIFA Men's World Cup,1,group stage,Group 2,4
G-16,WC-1958,1958 FIFA Men's World Cup,1,group stage,Group 3,4
G-17,WC-1958,1958 FIFA Men's World Cup,1,group stage,Group 4,4
G-18,WC-1962,1962 FIFA Men's World Cup,1,group stage,Group 1,4
G-19,WC-1962,1962 FIFA Men's World Cup,1,group stage,Group 2,4
G-20,WC-1962,1962 FIFA Men's World Cup,1,group stage,Group 3,4
G-21,WC-1962,1962 FIFA Men's World Cup,1,group stage,Group 4,4
G-22,WC-1966,1966 FIFA Men's World Cup,1,group stage,Group 1,4
G-23,WC-1966,1966 FIFA Men's World Cup,1,group stage,Group 2,4
G-24,WC-1966,1966 FIFA Men's World Cup,1,group stage,Group 3,4
G-25,WC-1966,1966 FIFA Men's World Cup,1,group stage,Group 4,4
G-26,WC-1970,1970 FIFA Men's World Cup,1,group stage,Group 1,4
G-27,WC-1970,1970 FIFA Men's World Cup,1,group stage,Group 2,4
G-28,WC-1970,1970 FIFA Men's World Cup,1,group stage,Group 3,4
G-29,WC-1970,1970 FIFA Men's World Cup,1,group stage,Group 4,4
G-30,WC-1974,1974 FIFA Men's World Cup,1,first group stage,Group 1,4
G-31,WC-1974,1974 FIFA Men's World Cup,1,first group stage,Group 2,4
G-32,WC-1974,1974 FIFA Men's World Cup,1,first group stage,Group 3,4
G-33,WC-1974,1974 FIFA Men's World Cup,1,first group stage,Group 4,4
G-34,WC-1974,1974 FIFA Men's World Cup,2,second group stage,Group A,4
G-35,WC-1974,1974 FIFA Men's World Cup,2,second group stage,Group B,4
G-36,WC-1978,1978 FIFA Men's World Cup,1,first group stage,Group 1,4
G-37,WC-1978,1978 FIFA Men's World Cup,1,first group stage,Group 2,4
