host_country_id,tournament_id,team_id,performance
HC-1,WC-1930,T-84,champions
HC-2,WC-1934,T-41,champions
HC-3,WC-1938,T-30,quater-finals
HC-4,WC-1950,T-09,runners-up
HC-5,WC-1954,T-75,quarter-final
HC-6,WC-1958,T-74,runners-up
HC-7,WC-1962,T-13,third place
HC-8,WC-1966,T-28,champions
HC-9,WC-1970,T-46,quater-finals
HC-10,WC-1974,T-86,champions
HC-11,WC-1978,T-03,champions
HC-12,WC-1982,T-73,second group stage
HC-13,WC-1986,T-46,quater-finals
HC-14,WC-1990,T-41,third place
HC-16,WC-1994,T-83,round of 16
HC-18,WC-1998,T-30,champions
HC-20,WC-2002,T-44,round of 16
HC-21,WC-2002,T-71,fourth place
HC-23,WC-2006,T-31,third place
HC-25,WC-2010,T-70,group stage
HC-27,WC-2014,T-09,fourth place
HC-29,WC-2018,T-62,quater-finals
HC-31,WC-2022,T-59,group stage
