manager_appearance_id,match_id,team_id,manager_id
MA-1,M-1930-01,T-30,M-075
MA-2,M-1930-01,T-46,M-235
MA-3,M-1930-02,T-83,M-265
MA-4,M-1930-02,T-06,M-140
MA-5,M-1930-03,T-87,M-397
MA-6,M-1930-03,T-09,M-091
MA-7,M-1930-04,T-61,M-341
MA-8,M-1930-04,T-56,M-061
MA-9,M-1930-05,T-03,M-296
MA-10,M-1930-05,T-03,M-432
MA-11,M-1930-05,T-30,M-075
MA-12,M-1930-06,T-13,M-302
MA-13,M-1930-06,T-46,M-235
MA-14,M-1930-07,T-87,M-397
MA-15,M-1930-07,T-07,M-381
MA-16,M-1930-08,T-83,M-265
MA-17,M-1930-08,T-55,M-109
MA-18,M-1930-09,T-84,M-415
MA-19,M-1930-09,T-56,M-061
MA-20,M-1930-10,T-13,M-302
MA-21,M-1930-10,T-30,M-075
MA-22,M-1930-11,T-03,M-296
MA-23,M-1930-11,T-03,M-432
MA-24,M-1930-11,T-46,M-235
MA-25,M-1930-12,T-09,M-091
MA-26,M-1930-12,T-07,M-381
MA-27,M-1930-13,T-55,M-109
MA-28,M-1930-13,T-06,M-140
MA-29,M-1930-14,T-84,M-415
MA-30,M-1930-14,T-61,M-341
MA-31,M-1930-15,T-03,M-296
MA-32,M-1930-15,T-03,M-432
MA-33,M-1930-15,T-13,M-302
MA-34,M-1930-16,T-03,M-296
MA-35,M-1930-16,T-03,M-432
MA-36,M-1930-16,T-83,M-265
MA-37,M-1930-17,T-84,M-415
MA-38,M-1930-17,T-87,M-397
MA-39,M-1930-18,T-84,M-415
MA-40,M-1930-18,T-03,M-296
MA-41,M-1930-18,T-03,M-432
MA-42,M-1934-01,T-05,M-250
MA-43,M-1934-01,T-30,M-203
MA-44,M-1934-02,T-21,M-320
MA-45,M-1934-02,T-61,M-341
MA-46,M-1934-02,T-61,M-439
MA-47,M-1934-03,T-31,M-286
MA-48,M-1934-03,T-06,M-140
MA-49,M-1934-04,T-36,M-280
MA-50,M-1934-04,T-26,M-249
MA-51,M-1934-05,T-41,M-333
MA-52,M-1934-05,T-83,M-146
MA-53,M-1934-06,T-73,M-133
MA-54,M-1934-06,T-09,M-456
MA-55,M-1934-07,T-74,M-321
MA-56,M-1934-07,T-03,M-312
MA-57,M-1934-08,T-75,M-275
MA-58,M-1934-08,T-48,M-136
MA-59,M-1934-09,T-05,M-250
MA-60,M-1934-09,T-36,M-280
MA-61,M-1934-10,T-21,M-320
MA-62,M-1934-10,T-75,M-275
MA-63,M-1934-11,T-31,M-286
MA-64,M-1934-11,T-74,M-321
MA-65,M-1934-12,T-41,M-333
MA-66,M-1934-12,T-73,M-133
MA-67,M-1934-13,T-41,M-333
MA-68,M-1934-13,T-73,M-133
MA-69,M-1934-14,T-21,M-320
MA-70,M-1934-14,T-31,M-286
MA-71,M-1934-15,T-41,M-333
MA-72,M-1934-15,T-05,M-250
MA-73,M-1934-16,T-31,M-286
MA-74,M-1934-16,T-05,M-250
MA-75,M-1934-17,T-41,M-333
MA-76,M-1934-17,T-21,M-320
MA-77,M-1938-01,T-75,M-345
MA-78,M-1938-01,T-31,M-161
MA-79,M-1938-02,T-19,M-423
MA-80,M-1938-02,T-61,M-341
MA-81,M-1938-02,T-61,M-382
MA-82,M-1938-03,T-30,M-028
MA-83,M-1938-03,T-06,M-066
MA-84,M-1938-04,T-36,M-101
MA-85,M-1938-04,T-36,M-385
MA-86,M-1938-04,T-23,M-245
MA-87,M-1938-05,T-41,M-333
MA-88,M-1938-05,T-53,M-154
MA-89,M-1938-06,T-09,M-325
MA-90,M-1938-06,T-57,M-191
MA-91,M-1938-07,T-21,M-251
MA-92,M-1938-07,T-48,M-136
MA-93,M-1938-08,T-19,M-423
MA-94,M-1938-08,T-61,M-341
MA-95,M-1938-08,T-61,M-382
MA-96,M-1938-09,T-75,M-345
MA-97,M-1938-09,T-31,M-161
MA-98,M-1938-10,T-09,M-325
MA-99,M-1938-10,T-21,M-251
MA-100,M-1938-11,T-36,M-101
MA-101,M-1938-11,T-36,M-385
MA-102,M-1938-11,T-75,M-345
MA-103,M-1938-12,T-41,M-333
MA-104,M-1938-12,T-30,M-028
MA-105,M-1938-13,T-74,M-281
MA-106,M-1938-13,T-19,M-423
MA-107,M-1938-14,T-09,M-325
MA-108,M-1938-14,T-21,M-251
MA-109,M-1938-15,T-36,M-101
MA-110,M-1938-15,T-36,M-385
MA-111,M-1938-15,T-74,M-281
MA-112,M-1938-16,T-41,M-333
MA-113,M-1938-16,T-09,M-325
MA-114,M-1938-17,T-09,M-325
MA-115,M-1938-17,T-74,M-281
