manager_appointment_id,tournament_id,team_id,manager_id
1,WC-1930,T-56,M-061
2,WC-1930,T-30,M-075
3,WC-1930,T-09,M-091
4,WC-1930,T-55,M-109
5,WC-1930,T-06,M-140
6,WC-1930,T-46,M-235
7,WC-1930,T-83,M-265
8,WC-1930,T-03,M-296
9,WC-1930,T-13,M-302
10,WC-1930,T-61,M-341
11,WC-1930,T-07,M-381
12,WC-1930,T-87,M-397
13,WC-1930,T-84,M-415
14,WC-1930,T-03,M-432
15,WC-1934,T-73,M-133
16,WC-1934,T-48,M-136
17,WC-1934,T-06,M-140
18,WC-1934,T-83,M-146
19,WC-1934,T-30,M-203
20,WC-1934,T-26,M-249
21,WC-1934,T-05,M-250
22,WC-1934,T-75,M-275
23,WC-1934,T-36,M-280
24,WC-1934,T-31,M-286
25,WC-1934,T-03,M-312
26,WC-1934,T-21,M-320
27,WC-1934,T-74,M-321
28,WC-1934,T-41,M-333
29,WC-1934,T-61,M-341
30,WC-1934,T-61,M-439
31,WC-1934,T-09,M-456
32,WC-1938,T-30,M-028
33,WC-1938,T-06,M-066
34,WC-1938,T-36,M-101
35,WC-1938,T-48,M-136
36,WC-1938,T-53,M-154
37,WC-1938,T-31,M-161
38,WC-1938,T-57,M-191
39,WC-1938,T-23,M-245
40,WC-1938,T-21,M-251
41,WC-1938,T-74,M-281
42,WC-1938,T-09,M-325
43,WC-1938,T-41,M-333
44,WC-1938,T-61,M-341
45,WC-1938,T-75,M-345
46,WC-1938,T-61,M-382
47,WC-1938,T-36,M-385
48,WC-1938,T-19,M-423
49,WC-1950,T-75,M-015
50,WC-1950,T-87,M-023
51,WC-1950,T-13,M-063
52,WC-1950,T-09,M-085
53,WC-1950,T-73,M-111
54,WC-1950,T-55,M-126
55,WC-1950,T-83,M-184
56,WC-1950,T-84,M-230
57,WC-1950,T-41,M-291
58,WC-1950,T-07,M-335
59,WC-1950,T-74,M-347
60,WC-1950,T-46,M-449
61,WC-1950,T-28,M-470
62,WC-1954,T-64,M-032
63,WC-1954,T-21,M-054
64,WC-1954,T-41,M-089
65,WC-1954,T-86,M-161
66,WC-1954,T-71,M-202
67,WC-1954,T-06,M-226
68,WC-1954,T-84,M-230
69,WC-1954,T-46,M-231
70,WC-1954,T-09,M-272
71,WC-1954,T-05,M-282
72,WC-1954,T-30,M-323
73,WC-1954,T-80,M-338
74,WC-1954,T-75,M-345
75,WC-1954,T-36,M-390
76,WC-1954,T-87,M-428
77,WC-1954,T-28,M-470
78,WC-1958,T-05,M-021
79,WC-1958,T-36,M-027
80,WC-1958,T-30,M-030
81,WC-1958,T-64,M-064
82,WC-1958,T-52,M-103
83,WC-1958,T-09,M-122
84,WC-1958,T-55,M-144
85,WC-1958,T-86,M-161
86,WC-1958,T-72,M-189
87,WC-1958,T-21,M-205
88,WC-1958,T-46,M-231
89,WC-1958,T-85,M-277
90,WC-1958,T-74,M-347
91,WC-1958,T-03,M-407
92,WC-1958,T-87,M-428
93,WC-1958,T-64,M-463
94,WC-1958,T-28,M-470
95,WC-1962,T-36,M-027
96,WC-1962,T-84,M-084
97,WC-1962,T-41,M-124
98,WC-1962,T-86,M-161
99,WC-1962,T-73,M-164
100,WC-1962,T-72,M-189
101,WC-1962,T-03,M-232
102,WC-1962,T-87,M-233
103,WC-1962,T-41,M-247
104,WC-1962,T-87,M-262
105,WC-1962,T-09,M-271
106,WC-1962,T-10,M-305
107,WC-1962,T-16,M-314
108,WC-1962,T-75,M-345
109,WC-1962,T-13,M-355
110,WC-1962,T-46,M-434
111,WC-1962,T-21,M-461
112,WC-1962,T-28,M-470
113,WC-1966,T-13,M-010
114,WC-1966,T-36,M-027
115,WC-1966,T-41,M-119
116,WC-1966,T-09,M-122
117,WC-1966,T-75,M-128
118,WC-1966,T-58,M-137
119,WC-1966,T-30,M-149
120,WC-1966,T-03,M-232
121,WC-1966,T-72,M-274
122,WC-1966,T-51,M-279
123,WC-1966,T-28,M-344
124,WC-1966,T-86,M-388
125,WC-1966,T-46,M-434
126,WC-1966,T-84,M-452
127,WC-1966,T-73,M-454
128,WC-1966,T-10,M-461
129,WC-1970,T-74,M-038
130,WC-1970,T-10,M-057
131,WC-1970,T-46,M-072
132,WC-1970,T-27,M-074
133,WC-1970,T-56,M-100
134,WC-1970,T-06,M-139
135,WC-1970,T-84,M-175
136,WC-1970,T-72,M-189
137,WC-1970,T-21,M-242
138,WC-1970,T-61,M-288
139,WC-1970,T-28,M-344
140,WC-1970,T-40,M-386
141,WC-1970,T-86,M-388
142,WC-1970,T-41,M-441
143,WC-1970,T-47,M-451
144,WC-1970,T-09,M-474
145,WC-1974,T-13,M-010
146,WC-1974,T-24,M-065
147,WC-1974,T-03,M-070
148,WC-1974,T-74,M-117
149,WC-1974,T-57,M-145
150,WC-1974,T-48,M-260
151,WC-1974,T-87,M-264
152,WC-1974,T-10,M-268
153,WC-1974,T-64,M-301
154,WC-1974,T-84,M-330
155,WC-1974,T-04,M-346
156,WC-1974,T-86,M-388
157,WC-1974,T-34,M-424
158,WC-1974,T-41,M-441
159,WC-1974,T-88,M-451
160,WC-1974,T-09,M-474
161,WC-1978,T-36,M-027
162,WC-1978,T-41,M-031
163,WC-1978,T-56,M-068
164,WC-1978,T-79,M-079
165,WC-1978,T-09,M-086
166,WC-1978,T-74,M-117
167,WC-1978,T-57,M-138
168,WC-1978,T-48,M-157
169,WC-1978,T-30,M-167
170,WC-1978,T-73,M-209
171,WC-1978,T-64,M-239
172,WC-1978,T-03,M-254
173,WC-1978,T-38,M-269
174,WC-1978,T-46,M-357
175,WC-1978,T-86,M-388
176,WC-1978,T-05,M-392
177,WC-1982,T-49,M-003
178,WC-1982,T-41,M-031
179,WC-1982,T-72,M-042
180,WC-1982,T-52,M-045
181,WC-1982,T-35,M-092
182,WC-1982,T-86,M-096
183,WC-1982,T-28,M-147
184,WC-1982,T-30,M-167
185,WC-1982,T-01,M-197
186,WC-1982,T-05,M-216
187,WC-1982,T-01,M-253
188,WC-1982,T-03,M-254
189,WC-1982,T-36,M-256
190,WC-1982,T-87,M-264
191,WC-1982,T-45,M-311
192,WC-1982,T-57,M-324
193,WC-1982,T-27,M-358
194,WC-1982,T-73,M-374
195,WC-1982,T-09,M-375
196,WC-1982,T-13,M-376
197,WC-1982,T-05,M-387
198,WC-1982,T-64,M-410
199,WC-1982,T-06,M-426
200,WC-1982,T-56,M-427
201,WC-1982,T-21,M-447
202,WC-1982,T-11,M-455
203,WC-1986,T-41,M-031
204,WC-1986,T-86,M-033
205,WC-1986,T-03,M-044
