manager_id,family_name,given_name,female,country_name
M-001,Acosta,Nelson,0,Uruguay
M-002,Addo,Otto,0,Ghana
M-003,Adshead,John,0,England
M-004,Advocaat,Dick,0,Netherlands
M-005,Afranie,Emmanual Kwasi,0,Ghana
M-006,Aguirre,Javier,0,Mexico
M-007,Al-Gohari,Mahmoud,0,Egypt
M-008,Al-Johar,Nasser,0,Saudi Arabia
M-009,Al-Kharashy,Mohammed,0,Brazil
M-010,Álamos,Luis,0,Chile
M-011,Alfaro,Gustavo,0,Argentina
M-012,Alonso,Diego,0,Uruguay
M-013,An,Jong-goan,0,South Korea
M-014,Andersson,Janne,0,Sweden
M-015,Andreoli,Franco,0,Switzerland
M-016,Antić,Radomir,0,Serbia
M-017,Appiah,James Kwesi,0,Ghana
M-018,Aragonés,Luis,0,Spain
M-019,Arauz,Vanessa,1,Ecuador
M-020,Arena,Bruce,0,United States
M-021,Argauer,Karl,0,Austria
M-022,Arnold,Graham,0,Australia
M-023,Arsenijević,Milorad,0,Yugoslavia
M-024,Aryee,Oko,0,Ghana
M-025,Azkargorta,Xabier,0,Spain
M-026,Barcellos,Jorge,0,Brazil
M-027,Baróti,Lajos,0,Hungary
M-028,Barreau,Gaston,0,France
M-029,Basile,Alfio,0,Argentina
M-030,Batteux,Albert,0,France
M-031,Bearzot,Enzo,0,Italy
M-032,Beattie,Andy,0,Scotland
M-033,Beckenbauer,Franz,0,Germany
M-034,Beenhakker,Leo,0,Netherlands
M-035,Béliveau,Sylvie,1,Canada
M-036,Bento,Paulo,0,Portugal
M-037,Bergeroo,Philippe,0,France
M-038,Bergmark,Orvar,0,Sweden
M-039,Berhalter,Gregg,0,United States
M-040,Berntsen,Bjarne,0,Norway
M-041,Bertolini,Milena,1,Italy
M-042,Beskov,Konstantin,0,Soviet Union
M-043,Bielsa,Marcelo,0,Argentina
M-044,Bilardo,Carlos,0,Argentina
M-045,Bingham,Billy,0,Northern Ireland
M-046,Bini,Bruno,0,France
M-047,Bisanz,Gero,0,Germany
M-048,Blažević,Miroslav,0,Croatia
M-049,Blinda,Abdellah,0,Morocco
M-050,Blokhin,Oleg,0,Ukraine
M-051,Boardman,Dave,0,England
M-052,Bonev,Hristo,0,Bulgaria
M-053,Bonfrère,Jo,0,Netherlands
M-054,Borhy,Karol,0,Czechoslovakia
M-055,Borrás,Omar,0,Uruguay
M-056,Borrello,Carlos,0,Argentina
M-057,Bozhkov,Stefan,0,Bulgaria
M-058,Bradley,Bob,0,United States
M-059,Brown,Craig,0,Scotland
M-060,Brown,Greg,0,Australia
M-061,Bru,Francisco,0,Spain
M-062,Brückner,Karel,0,Czech Republic
M-063,Buccicardi,Alberto,0,Chile
M-064,Busby,Matt,0,Scotland
M-065,Buschner,Georg,0,East Germany
M-066,Butler,Jack,0,England
