tournament_id,ball_name,manufacturer,ball_id
WC-1930,T-Model,,B-1
WC-1930,Tiento,,B-2
WC-1934,Federale 102,ECAS (Ente Centrale Approvvigionamento Sportivi),B-3
WC-1938,Allen,Allen,B-4
WC-1950,Duplo T,Superball,B-5
WC-1954,Swiss World Champion,Kost Sport,B-6
WC-1958,Top Star,Sydsvenska Läder och Remfabriken,B-7
WC-1962,Crack,Señor Custodio Zamora H.,B-8
WC-1966,Challenge 4-Star,Slazenger,B-9
WC-1970,Telstar,Adidas,B-10
WC-1974,Telstar Durlast,Adidas,B-11
WC-1978,Tango,Adidas,B-12
WC-1982,Tango España,Adidas,B-13
WC-1986,Azteca,Adidas,B-14
WC-1990,Etrusco Unico,Adidas,B-15
WC-1994,Questra,Adidas,B-16
WC-1998,Tricolore,Adidas,B-17
WC-2002,Fevernova,Adidas,B-18
WC-2006,Teamgeist Berlin,Adidas,B-19
WC-2006,Teamgeist,Adidas,B-20
WC-2010,Jabulani,Adidas,B-21
WC-2010,Jo'bulani,Adidas,B-22
WC-2014,Brazuca,Adidas,B-23
WC-2014,Brazuca Final Rio,Adidas,B-24
WC-2018,Telstar 18,Adidas,B-25
WC-2018,Telstar Mechta,Adidas,B-26
WC-2022,Al Rihla,Adidas,B-27
WC-2022,Al Hilm,Adidas,B-28
