penalty_kick_id,match_id,team_id,player_id,converted
PK-001,M-1982-50,T-86,P-68969,1
PK-002,M-1982-50,T-86,P-48686,1
PK-003,M-1982-50,T-86,P-45695,0
PK-004,M-1982-50,T-86,P-89975,1
PK-005,M-1982-50,T-86,P-59574,1
PK-006,M-1982-50,T-86,P-89949,1
PK-007,M-1982-50,T-30,P-79617,1
PK-008,M-1982-50,T-30,P-69834,1
PK-009,M-1982-50,T-30,P-99991,1
PK-010,M-1982-50,T-30,P-74565,0
PK-011,M-1982-50,T-30,P-08939,1
PK-012,M-1982-50,T-30,P-03719,0
PK-013,M-1986-45,T-09,P-78605,0
PK-014,M-1986-45,T-09,P-76896,1
PK-015,M-1986-45,T-09,P-37483,1
PK-016,M-1986-45,T-09,P-90842,1
PK-017,M-1986-45,T-09,P-05820,0
PK-018,M-1986-45,T-30,P-22982,1
PK-019,M-1986-45,T-30,P-69834,1
PK-020,M-1986-45,T-30,P-12716,1
PK-021,M-1986-45,T-30,P-08939,0
PK-022,M-1986-45,T-30,P-00643,1
PK-023,M-1986-46,T-86,P-95392,1
PK-024,M-1986-46,T-86,P-67713,1
PK-025,M-1986-46,T-86,P-49502,1
PK-026,M-1986-46,T-86,P-89975,1
PK-027,M-1986-46,T-46,P-66199,1
PK-028,M-1986-46,T-46,P-28996,0
PK-029,M-1986-46,T-46,P-89412,0
PK-030,M-1986-48,T-73,P-32414,1
PK-031,M-1986-48,T-73,P-74307,0
PK-032,M-1986-48,T-73,P-31693,1
PK-033,M-1986-48,T-73,P-12940,1
PK-034,M-1986-48,T-73,P-91970,1
PK-035,M-1986-48,T-06,P-47038,1
PK-036,M-1986-48,T-06,P-97414,1
PK-037,M-1986-48,T-06,P-93848,1
PK-038,M-1986-48,T-06,P-92384,1
PK-039,M-1986-48,T-06,P-43888,1
PK-040,M-1990-41,T-60,P-72379,1
PK-041,M-1990-41,T-60,P-95491,1
PK-042,M-1990-41,T-60,P-28854,1
PK-043,M-1990-41,T-60,P-94106,1
PK-044,M-1990-41,T-60,P-64796,1
PK-045,M-1990-41,T-61,P-30739,1
PK-046,M-1990-41,T-61,P-49988,1
PK-047,M-1990-41,T-61,P-23176,1
PK-048,M-1990-41,T-61,P-86528,1
PK-049,M-1990-41,T-61,P-40531,0
PK-050,M-1990-45,T-03,P-80379,1
PK-051,M-1990-45,T-03,P-95267,1
PK-052,M-1990-45,T-03,P-80404,0
PK-053,M-1990-45,T-03,P-30977,0
PK-054,M-1990-45,T-03,P-53936,1
PK-055,M-1990-45,T-87,P-93318,0
PK-056,M-1990-45,T-87,P-62861,1
PK-057,M-1990-45,T-87,P-18303,1
PK-058,M-1990-45,T-87,P-71107,0
PK-059,M-1990-45,T-87,P-85893,0
PK-060,M-1990-49,T-03,P-80379,1
PK-061,M-1990-49,T-03,P-95267,1
PK-062,M-1990-49,T-03,P-46907,1
PK-063,M-1990-49,T-03,P-80404,1
PK-064,M-1990-49,T-41,P-42920,1
