player_appearance_id,match_id,team_id,player_id,starter,substitute,shirt_number
PA-1,M-1970-01,T-46,P-66980,1,0,1
PA-2,M-1970-01,T-46,P-64553,1,0,3
PA-3,M-1970-01,T-46,P-42664,1,0,5
PA-4,M-1970-01,T-46,P-69898,1,0,6
PA-5,M-1970-01,T-46,P-56971,1,0,10
PA-6,M-1970-01,T-46,P-96177,1,0,13
PA-7,M-1970-01,T-46,P-38555,1,0,14
PA-8,M-1970-01,T-46,P-85808,1,0,15
PA-9,M-1970-01,T-46,P-32657,1,0,18
PA-10,M-1970-01,T-46,P-07812,1,0,19
PA-11,M-1970-01,T-46,P-48001,1,0,21
PA-12,M-1970-01,T-46,P-96873,0,1,8
PA-13,M-1970-01,T-72,P-79597,1,0,2
PA-14,M-1970-01,T-72,P-17002,1,0,5
PA-15,M-1970-01,T-72,P-52906,1,0,6
PA-16,M-1970-01,T-72,P-70408,1,0,7
PA-17,M-1970-01,T-72,P-28651,1,0,9
PA-18,M-1970-01,T-72,P-33189,1,0,11
PA-19,M-1970-01,T-72,P-50044,1,0,14
PA-20,M-1970-01,T-72,P-60181,1,0,15
PA-21,M-1970-01,T-72,P-02102,1,0,16
PA-22,M-1970-01,T-72,P-72049,1,0,17
PA-23,M-1970-01,T-72,P-43733,1,0,19
PA-24,M-1970-01,T-72,P-59828,0,1,20
PA-25,M-1970-01,T-72,P-98262,0,1,21
PA-26,M-1970-02,T-84,P-53140,1,0,1
PA-27,M-1970-02,T-84,P-47978,1,0,2
PA-28,M-1970-02,T-84,P-83747,1,0,3
PA-29,M-1970-02,T-84,P-63224,1,0,4
PA-30,M-1970-02,T-84,P-83931,1,0,5
PA-31,M-1970-02,T-84,P-50162,1,0,6
PA-32,M-1970-02,T-84,P-81929,1,0,7
PA-33,M-1970-02,T-84,P-47892,1,0,8
PA-34,M-1970-02,T-84,P-99710,1,0,9
PA-35,M-1970-02,T-84,P-40429,1,0,10
PA-36,M-1970-02,T-84,P-08424,1,0,21
PA-37,M-1970-02,T-84,P-82186,0,1,20
PA-38,M-1970-02,T-40,P-09393,1,0,1
PA-39,M-1970-02,T-40,P-87631,1,0,4
PA-40,M-1970-02,T-40,P-78005,1,0,5
