player_appointment_id,tournament_id,team_id,player_id,shirt_number
PA-1,WC-1930,T-03,P-69244,0
PA-2,WC-1930,T-03,P-23160,0
PA-3,WC-1930,T-03,P-99230,0
PA-4,WC-1930,T-03,P-41921,0
PA-5,WC-1930,T-03,P-22739,0
PA-6,WC-1930,T-03,P-30720,0
PA-7,WC-1930,T-03,P-30543,0
PA-8,WC-1930,T-03,P-23897,0
PA-9,WC-1930,T-03,P-60505,0
PA-10,WC-1930,T-03,P-25760,0
PA-11,WC-1930,T-03,P-49556,0
PA-12,WC-1930,T-03,P-91238,0
PA-13,WC-1930,T-03,P-58537,0
PA-14,WC-1930,T-03,P-24312,0
PA-15,WC-1930,T-03,P-70166,0
PA-16,WC-1930,T-03,P-49151,0
PA-17,WC-1930,T-03,P-44916,0
PA-18,WC-1930,T-03,P-21441,0
PA-19,WC-1930,T-03,P-56486,0
PA-20,WC-1930,T-03,P-56908,0
PA-21,WC-1930,T-03,P-37326,0
PA-22,WC-1930,T-03,P-76546,0
PA-23,WC-1930,T-06,P-92795,0
PA-24,WC-1930,T-06,P-20690,0
PA-25,WC-1930,T-06,P-40714,0
PA-26,WC-1930,T-06,P-41990,0
PA-27,WC-1930,T-06,P-97126,0
PA-28,WC-1930,T-06,P-93713,0
PA-29,WC-1930,T-06,P-41710,0
PA-30,WC-1930,T-06,P-45315,0
PA-31,WC-1930,T-06,P-16891,0
PA-32,WC-1930,T-06,P-61253,0
PA-33,WC-1930,T-06,P-44475,0
PA-34,WC-1930,T-06,P-74839,0
PA-35,WC-1930,T-06,P-46390,0
PA-36,WC-1930,T-06,P-28503,0
PA-37,WC-1930,T-06,P-69286,0
PA-38,WC-1930,T-06,P-85443,0
PA-39,WC-1930,T-07,P-43807,0
PA-40,WC-1930,T-07,P-62751,0
PA-41,WC-1930,T-07,P-95008,0
PA-42,WC-1930,T-07,P-97354,0
PA-43,WC-1930,T-07,P-16019,0
PA-44,WC-1930,T-07,P-36835,0
PA-45,WC-1930,T-07,P-69877,0
PA-46,WC-1930,T-07,P-61667,0
PA-47,WC-1930,T-07,P-48216,0
PA-48,WC-1930,T-07,P-92600,0
PA-49,WC-1930,T-07,P-84833,0
PA-50,WC-1930,T-07,P-92838,0
PA-51,WC-1930,T-07,P-93364,0
PA-52,WC-1930,T-07,P-56114,0
PA-53,WC-1930,T-07,P-35684,0
PA-54,WC-1930,T-07,P-00369,0
PA-55,WC-1930,T-07,P-67934,0
PA-56,WC-1930,T-09,P-13299,0
PA-57,WC-1930,T-09,P-70170,0
PA-58,WC-1930,T-09,P-11648,0
PA-59,WC-1930,T-09,P-81166,0
PA-60,WC-1930,T-09,P-58460,0
PA-61,WC-1930,T-09,P-52323,0
PA-62,WC-1930,T-09,P-00708,0
PA-63,WC-1930,T-09,P-49818,0
PA-64,WC-1930,T-09,P-29865,0
PA-65,WC-1930,T-09,P-92427,0
PA-66,WC-1930,T-09,P-16656,0
PA-67,WC-1930,T-09,P-72889,0
PA-68,WC-1930,T-09,P-30679,0
PA-69,WC-1930,T-09,P-49633,0
PA-70,WC-1930,T-09,P-83987,0
PA-71,WC-1930,T-09,P-10526,0
PA-72,WC-1930,T-09,P-52064,0
PA-73,WC-1930,T-09,P-32535,0
PA-74,WC-1930,T-09,P-38379,0
PA-75,WC-1930,T-09,P-91171,0
PA-76,WC-1930,T-09,P-82422,0
PA-77,WC-1930,T-09,P-26796,0
PA-78,WC-1930,T-09,P-28745,0
PA-79,WC-1930,T-09,P-22493,0
PA-80,WC-1930,T-13,P-95800,0
PA-81,WC-1930,T-13,P-33635,0
PA-82,WC-1930,T-13,P-54301,0
PA-83,WC-1930,T-13,P-88235,0
PA-84,WC-1930,T-13,P-01278,0
PA-85,WC-1930,T-13,P-41928,0
PA-86,WC-1930,T-13,P-32614,0
PA-87,WC-1930,T-13,P-07122,0
PA-88,WC-1930,T-13,P-66860,0
PA-89,WC-1930,T-13,P-19195,0
PA-90,WC-1930,T-13,P-97943,0
PA-91,WC-1930,T-13,P-85142,0
PA-92,WC-1930,T-13,P-49261,0
PA-93,WC-1930,T-13,P-89829,0
PA-94,WC-1930,T-13,P-08459,0
PA-95,WC-1930,T-13,P-10927,0
PA-96,WC-1930,T-13,P-28795,0
PA-97,WC-1930,T-13,P-61338,0
PA-98,WC-1930,T-13,P-65664,0
PA-99,WC-1930,T-30,P-68817,0
PA-100,WC-1930,T-30,P-77318,0
PA-101,WC-1930,T-30,P-83054,0
PA-102,WC-1930,T-30,P-10604,0
PA-103,WC-1930,T-30,P-53878,0
PA-104,WC-1930,T-30,P-99087,0
PA-105,WC-1930,T-30,P-73308,0
PA-106,WC-1930,T-30,P-05470,0
PA-107,WC-1930,T-30,P-89688,0
PA-108,WC-1930,T-30,P-60620,0
PA-109,WC-1930,T-30,P-67332,0
PA-110,WC-1930,T-30,P-58728,0
PA-111,WC-1930,T-30,P-62322,0
PA-112,WC-1930,T-30,P-50248,0
PA-113,WC-1930,T-30,P-02281,0
PA-114,WC-1930,T-30,P-48345,0
PA-115,WC-1930,T-46,P-36379,0
PA-116,WC-1930,T-46,P-33560,0
PA-117,WC-1930,T-46,P-94135,0
PA-118,WC-1930,T-46,P-33321,0
PA-119,WC-1930,T-46,P-43777,0
PA-120,WC-1930,T-46,P-41910,0
PA-121,WC-1930,T-46,P-31066,0
PA-122,WC-1930,T-46,P-84297,0
PA-123,WC-1930,T-46,P-21313,0
PA-124,WC-1930,T-46,P-27734,0
PA-125,WC-1930,T-46,P-31687,0
PA-126,WC-1930,T-46,P-58196,0
PA-127,WC-1930,T-46,P-08566,0
PA-128,WC-1930,T-46,P-89481,0
PA-129,WC-1930,T-46,P-17565,0
PA-130,WC-1930,T-46,P-83291,0
PA-131,WC-1930,T-46,P-65099,0
PA-132,WC-1930,T-55,P-33814,0
PA-133,WC-1930,T-55,P-35834,0
PA-134,WC-1930,T-55,P-30741,0
PA-135,WC-1930,T-55,P-78377,0
PA-136,WC-1930,T-55,P-61392,0
PA-137,WC-1930,T-55,P-51301,0
PA-138,WC-1930,T-55,P-68567,0
PA-139,WC-1930,T-55,P-37309,0
PA-140,WC-1930,T-55,P-21707,0
PA-141,WC-1930,T-55,P-08814,0
PA-142,WC-1930,T-55,P-54557,0
PA-143,WC-1930,T-55,P-86082,0
PA-144,WC-1930,T-55,P-65504,0
PA-145,WC-1930,T-55,P-64697,0
PA-146,WC-1930,T-55,P-04623,0
PA-147,WC-1930,T-55,P-98075,0
PA-148,WC-1930,T-55,P-11035,0
PA-149,WC-1930,T-55,P-09057,0
PA-150,WC-1930,T-55,P-04417,0
PA-151,WC-1930,T-55,P-51624,0
PA-152,WC-1930,T-55,P-06201,0
PA-153,WC-1930,T-55,P-51390,0
PA-154,WC-1930,T-56,P-35875,0
PA-155,WC-1930,T-56,P-45407,0
PA-156,WC-1930,T-56,P-79515,0
PA-157,WC-1930,T-56,P-07526,0
PA-158,WC-1930,T-56,P-45649,0
PA-159,WC-1930,T-56,P-64036,0
PA-160,WC-1930,T-56,P-38495,0
PA-161,WC-1930,T-56,P-29687,0
PA-162,WC-1930,T-56,P-93477,0
PA-163,WC-1930,T-56,P-44526,0
PA-164,WC-1930,T-56,P-57115,0
PA-165,WC-1930,T-56,P-71799,0
PA-166,WC-1930,T-56,P-19170,0
PA-167,WC-1930,T-56,P-06866,0
PA-168,WC-1930,T-56,P-08526,0
PA-169,WC-1930,T-56,P-27561,0
PA-170,WC-1930,T-56,P-36167,0
PA-171,WC-1930,T-56,P-66691,0
PA-172,WC-1930,T-56,P-44010,0
PA-173,WC-1930,T-56,P-89076,0
PA-174,WC-1930,T-56,P-41536,0
PA-175,WC-1930,T-56,P-36243,0
PA-176,WC-1930,T-61,P-99417,0
PA-177,WC-1930,T-61,P-62376,0
PA-178,WC-1930,T-61,P-27752,0
PA-179,WC-1930,T-61,P-91295,0
PA-180,WC-1930,T-61,P-20672,0
PA-181,WC-1930,T-61,P-70294,0
PA-182,WC-1930,T-61,P-09282,0
PA-183,WC-1930,T-61,P-07972,0
PA-184,WC-1930,T-61,P-02455,0
PA-185,WC-1930,T-61,P-18615,0
PA-186,WC-1930,T-61,P-51872,0
PA-187,WC-1930,T-61,P-81554,0
PA-188,WC-1930,T-61,P-22907,0
PA-189,WC-1930,T-61,P-85622,0
PA-190,WC-1930,T-61,P-22304,0
PA-191,WC-1930,T-83,P-58795,0
PA-192,WC-1930,T-83,P-94425,0
PA-193,WC-1930,T-83,P-06424,0
PA-194,WC-1930,T-83,P-12437,0
PA-195,WC-1930,T-83,P-37361,0
PA-196,WC-1930,T-83,P-99522,0
PA-197,WC-1930,T-83,P-00733,0
PA-198,WC-1930,T-83,P-85569,0
PA-199,WC-1930,T-83,P-65185,0
PA-200,WC-1930,T-83,P-25155,0
PA-201,WC-1930,T-83,P-46121,0
PA-202,WC-1930,T-83,P-71973,0
PA-203,WC-1930,T-83,P-47437,0
PA-204,WC-1930,T-83,P-04110,0
PA-205,WC-1930,T-83,P-49855,0
PA-206,WC-1930,T-83,P-56459,0
PA-207,WC-1930,T-84,P-63826,0
PA-208,WC-1930,T-84,P-57352,0
PA-209,WC-1930,T-84,P-63987,0
PA-210,WC-1930,T-84,P-47453,0
PA-211,WC-1930,T-84,P-76186,0
PA-212,WC-1930,T-84,P-54697,0
PA-213,WC-1930,T-84,P-18628,0
PA-214,WC-1930,T-84,P-38674,0
PA-215,WC-1930,T-84,P-53856,0
PA-216,WC-1930,T-84,P-39785,0
PA-217,WC-1930,T-84,P-31959,0
PA-218,WC-1930,T-84,P-49150,0
PA-219,WC-1930,T-84,P-55304,0
PA-220,WC-1930,T-84,P-76270,0
PA-221,WC-1930,T-84,P-93278,0
PA-222,WC-1930,T-84,P-41238,0
PA-223,WC-1930,T-84,P-63026,0
PA-224,WC-1930,T-84,P-98216,0
PA-225,WC-1930,T-84,P-93344,0
PA-226,WC-1930,T-84,P-44201,0
PA-227,WC-1930,T-84,P-86932,0
PA-228,WC-1930,T-84,P-17569,0
PA-229,WC-1930,T-87,P-72808,0
PA-230,WC-1930,T-87,P-43734,0
PA-231,WC-1930,T-87,P-13261,0
PA-232,WC-1930,T-87,P-15059,0
PA-233,WC-1930,T-87,P-44887,0
PA-234,WC-1930,T-87,P-24808,0
PA-235,WC-1930,T-87,P-75929,0
PA-236,WC-1930,T-87,P-10671,0
PA-237,WC-1930,T-87,P-19712,0
PA-238,WC-1930,T-87,P-91900,0
PA-239,WC-1930,T-87,P-94965,0
PA-240,WC-1930,T-87,P-74878,0
PA-241,WC-1930,T-87,P-62267,0
PA-242,WC-1930,T-87,P-55273,0
PA-243,WC-1930,T-87,P-43349,0
PA-244,WC-1930,T-87,P-59061,0
