player_id,family_name,given_name,birth_date,female,goal_keeper,defender,midfielder,forward,count_tournaments,list_tournaments
P-35894,A'Court,Alan,1934-09-30,0,0,0,0,1,1,1958
P-03484,Aaronson,Brenden,2000-10-22,0,0,0,0,1,1,2022
P-04189,Abadzhiev,Stefan,1934-07-03,0,0,0,0,1,1,1966
P-03523,Abalo,Jean-Paul,1975-06-26,0,0,1,0,0,1,2006
P-35138,Abanda,Patrice,1978-08-03,0,0,1,0,0,1,1998
P-75462,Abate,Ignazio,1986-11-12,0,0,1,0,0,1,2014
P-78277,Abbadie,Julio,1930-09-07,0,0,0,0,1,1,1954
P-02042,Abbes,Claude,1927-05-24,0,1,0,0,0,2,"1954, 1958"
P-81393,Abbiati,Christian,1977-07-08,0,1,0,0,0,1,2002
P-86290,Abbondanzieri,Roberto,1972-08-19,0,1,0,0,0,1,2006
P-29132,Abd Al-Jawad,Mohamed,1962-11-28,0,0,1,0,0,1,1994
P-26446,Abdel Rahman,Adel,1967-12-11,0,0,0,0,1,1,1990
P-29161,Abdel Shafy,Mohamed,1985-07-01,0,0,1,0,0,1,2018
P-73679,Abdel-Hamid,Gamal,1957-11-24,0,0,0,1,0,1,1990
P-62193,Abdelghani,Magdi,1959-07-27,0,0,0,1,0,1,1990
P-61342,Abdellah,Nacer,1966-03-03,0,0,1,0,0,1,1994
P-64924,Abdi,Ali,1993-12-20,0,0,1,0,0,1,2022
P-98081,Abdollahi,Nasrollah,1951-09-02,0,0,1,0,0,1,1978
P-94880,Abdoun,Djamel,1986-02-14,0,0,0,1,0,1,2010
P-21820,Abdul Samed,Salis,2000-03-26,0,0,0,1,0,1,2022
P-77199,Abdulghani,Hussein,1977-01-21,0,0,1,0,0,2,"2002, 2006"
P-73110,Abdulghani,Hussein,1977-01-23,0,0,1,0,0,1,1998
P-08125,Abdulhamid,Saud,1999-07-18,0,0,1,0,0,1,2022
P-03048,Abdullah,Majed,1959-11-01,0,0,0,0,1,1,1994
P-75724,Abdullahi,Shehu,1993-03-12,0,0,1,0,0,1,2018
P-53430,Abdulrahman,Fahad,1962-10-10,0,0,0,1,0,1,1990
P-00148,Abe,Yuki,1981-09-06,0,0,0,1,0,1,2010
P-56772,Abedzadeh,Ahmad Reza,1966-05-25,0,1,0,0,0,1,1998
P-80505,Abedzadeh,Amir,1993-04-26,0,1,0,0,0,2,"2018, 2022"
P-02805,Abega,Théophile,1954-07-09,0,0,0,1,0,1,1982
P-85334,Abegglen,André,1909-03-07,0,0,0,0,1,2,"1934, 1938"
P-99390,Abel,not applicable,1952-09-01,0,0,1,0,0,1,1978
P-24945,Abelardo,not applicable,1970-03-19,0,0,1,0,0,2,"1994, 1998"
P-32023,Abeledo,Ramón,1937-04-29,0,0,0,1,0,1,1962
P-00685,Abid,Anad,1955-08-03,0,0,0,0,1,1,1986
P-04469,Abidal,Eric,1979-09-11,0,0,1,0,0,2,"2006, 2010"
P-98382,Ablanedo,Juan Carlos,1963-09-02,0,1,0,0,0,2,"1986, 1990"
P-22858,Abonyi,Attila,1946-08-16,0,0,0,0,1,1,1974
P-53452,Aboubakar,Vincent,1992-01-22,0,0,0,0,1,3,"2010, 2014, 2022"
P-48295,Aboukhlal,Zakaria,2000-02-18,0,0,0,1,0,1,2022
P-62807,Abouzeid,Taher,1962-04-10,0,0,0,1,0,1,1990
P-04266,Abrahamsson,Henock,1909-10-29,0,1,0,0,0,1,1938
P-64134,Abramczik,Rüdiger,1956-02-18,0,0,0,0,1,1,1978
P-51300,Abrami,Lahcen,1969-12-31,0,0,1,0,0,1,1998
P-91786,Abreu,Marco,1974-12-08,0,0,1,0,0,1,2006
P-64372,Abreu,Sebastián,1976-10-17,0,0,0,0,1,2,"2002, 2010"
P-12036,Acácio,not applicable,1959-01-20,0,1,0,0,0,1,1990
P-13103,Acasuzo,Eusebio,1952-04-08,0,1,0,0,0,1,1982
P-17067,Aceros,Germán,1938-09-30,0,0,0,0,1,1,1962
P-75402,Aceval,Danilo,1975-09-15,0,1,0,0,0,1,1998
P-81409,Acevedo,David,1937-02-20,0,0,1,0,0,1,1958
P-48167,Acevedo,Eduardo Mario,1959-09-25,0,0,1,0,0,1,1986
P-28429,Acevedo,Elmer,1946-02-24,0,0,0,0,1,1,1970
P-01989,Achá,Alberto,1917-02-18,0,0,1,0,0,1,1950
P-29870,Achilier,Gabriel,1985-03-24,0,0,1,0,0,1,2014
P-17442,Achúcarro,Ignacio,1936-07-31,0,0,1,0,0,1,1958
P-67954,Aćimović,Jovan,1948-06-21,0,0,0,1,0,1,1974
P-44943,Ačimovič,Milenko,1977-02-15,0,0,0,0,1,1,2002
P-65320,Acosta,Jhonny,1983-07-21,0,0,1,0,0,2,"2014, 2018"
P-86410,Acosta,Kellyn,1995-07-24,0,0,0,1,0,1,2022
P-63370,Acquah,Afriyie,1992-01-05,0,0,0,1,0,1,2014
P-43934,Acuña,Clarence,1975-02-08,0,0,0,1,0,1,1998
P-79480,Acuña,Juan,1923-01-11,0,1,0,0,0,1,1950
P-73712,Acuña,Marcos,1991-10-28,0,0,1,1,0,2,"2018, 2022"
P-17884,Acuña,Roberto,1972-03-25,0,0,0,1,0,3,"1998, 2002, 2006"
P-21395,Adam,Glen,1959-05-22,0,0,1,0,0,1,1982
P-26945,Adamache,Stere,1941-08-17,0,1,0,0,0,1,1970
P-34289,Adamec,Jozef,1942-02-26,0,0,0,0,1,2,"1962, 1970"
P-92795,Adams,Ferdinand,1903-05-03,0,0,0,0,1,1,1930
P-40630,Adams,Stephen,1989-09-28,0,1,0,0,0,1,2014
P-54003,Adams,Tony,1966-10-10,0,0,1,0,0,1,1998
P-14151,Adams,Tyler,1999-02-14,0,0,0,1,0,1,2022
P-70505,Adamson,Jimmy,1929-04-04,0,0,0,1,0,1,1962
P-56943,Adãozinho,not applicable,1923-04-02,0,0,0,0,1,1,1950
P-77757,Addo,Eric,1978-11-12,0,0,1,0,0,1,2006
P-23846,Addo,Otto,1975-06-09,0,0,0,0,1,1,2006
P-56284,Addy,Lee,1985-09-26,0,0,1,0,0,1,2010
P-48772,Adebayor,Emmanuel,1984-02-26,0,0,0,0,1,1,2006
P-55821,Adekugbe,Sam,1995-01-16,0,0,1,0,0,1,2022
P-03894,Adelardo,not applicable,1939-09-26,0,0,0,1,0,2,"1962, 1966"
P-42799,Adeleye,Dele,1988-12-25,0,0,1,0,0,1,2010
P-49381,Ademir,not applicable,1922-11-08,0,0,0,0,1,1,1950
P-56969,Adepoju,Mutiu,1970-12-22,0,0,0,1,0,3,"1994, 1998, 2002"
P-05901,Adeyemi,Karim,2002-01-18,0,0,0,0,1,1,2022
P-65216,Adiyiah,Dominic,1989-11-29,0,0,0,0,1,1,2010
P-17027,Adjei,Sammy,1980-09-01,0,1,0,0,0,1,2006
P-47010,Ado,not applicable,1946-07-04,0,1,0,0,0,1,1970
P-67189,Adomah,Albert,1987-12-13,0,0,0,1,0,1,2014
P-20372,Adriano,not applicable,1982-02-17,0,0,0,0,1,1,2006
P-47833,Advíncula,Luis,1990-03-02,0,0,1,0,0,1,2018
P-32222,Aebischer,Michel,1997-01-06,0,0,0,1,0,1,2022
P-80329,Aeby,Georges,1910-09-10,0,0,0,0,1,1,1938
P-40938,Aeby,Paul,1910-09-10,0,0,0,0,1,1,1938
P-81141,Afellay,Ibrahim,1986-04-02,0,0,0,1,0,1,2010
P-05368,Afful,Harrison,1986-06-24,0,0,1,0,0,1,2014
P-47319,Afif,Akram,1996-11-18,0,0,0,0,1,1,2022
