referee_appearance_id,match_id,referee_id
1,M-1930-01,R-251
2,M-1930-02,R-260
3,M-1930-03,R-430
4,M-1930-04,R-472
5,M-1930-05,R-116
6,M-1930-06,R-091
7,M-1930-07,R-280
8,M-1930-08,R-260
9,M-1930-09,R-236
10,M-1930-10,R-430
11,M-1930-11,R-391
12,M-1930-12,R-039
13,M-1930-13,R-449
14,M-1930-14,R-116
15,M-1930-15,R-236
16,M-1930-16,R-236
17,M-1930-17,R-116
18,M-1930-18,R-236
19,M-1934-01,R-454
20,M-1934-02,R-236
21,M-1934-03,R-284
22,M-1934-04,R-041
23,M-1934-05,R-296
24,M-1934-06,R-056
25,M-1934-07,R-065
26,M-1934-08,R-135
27,M-1934-09,R-284
28,M-1934-10,R-054
29,M-1934-11,R-041
30,M-1934-12,R-034
31,M-1934-13,R-296
32,M-1934-14,R-041
33,M-1934-15,R-135
34,M-1934-16,R-082
35,M-1934-17,R-135
36,M-1938-01,R-236
37,M-1938-02,R-393
38,M-1938-03,R-483
39,M-1938-04,R-100
40,M-1938-05,R-054
41,M-1938-06,R-135
42,M-1938-07,R-241
43,M-1938-08,R-056
44,M-1938-09,R-135
45,M-1938-10,R-470
46,M-1938-11,R-041
47,M-1938-12,R-034
48,M-1938-13,R-226
49,M-1938-14,R-080
50,M-1938-15,R-241
51,M-1938-16,R-483
52,M-1938-17,R-236
53,M-1938-18,R-080
54,M-1950-01,R-365
55,M-1950-02,R-159
56,M-1950-03,R-451
57,M-1950-04,R-465
58,M-1950-05,R-258
59,M-1950-06,R-031
60,M-1950-07,R-240
61,M-1950-08,R-267
62,M-1950-09,R-114
63,M-1950-10,R-300
64,M-1950-11,R-179
65,M-1950-12,R-165
66,M-1950-13,R-159
67,M-1950-14,R-138
68,M-1950-15,R-365
69,M-1950-16,R-135
70,M-1950-17,R-138
71,M-1950-18,R-179
72,M-1950-19,R-240
73,M-1950-20,R-159
74,M-1950-21,R-451
75,M-1950-22,R-365
76,M-1954-01,R-484
77,M-1954-02,R-179
78,M-1954-03,R-152
79,M-1954-04,R-138
80,M-1954-05,R-465
81,M-1954-06,R-467
82,M-1954-07,R-107
83,M-1954-08,R-395
84,M-1954-09,R-326
85,M-1954-10,R-148
86,M-1954-11,R-420
87,M-1954-12,R-028
88,M-1954-13,R-248
89,M-1954-14,R-270
90,M-1954-15,R-421
91,M-1954-16,R-492
92,M-1954-17,R-467
93,M-1954-18,R-179
94,M-1954-19,R-148
95,M-1954-20,R-421
96,M-1954-21,R-138
97,M-1954-22,R-492
98,M-1954-23,R-179
99,M-1954-24,R-326
100,M-1954-25,R-484
101,M-1954-26,R-248
102,M-1958-01,R-245
103,M-1958-02,R-240
104,M-1958-03,R-399
105,M-1958-04,R-163
106,M-1958-05,R-484
107,M-1958-06,R-095
108,M-1958-07,R-183
109,M-1958-08,R-492
110,M-1958-09,R-009
111,M-1958-10,R-138
112,M-1958-11,R-326
113,M-1958-12,R-179
114,M-1958-13,R-242
115,M-1958-14,R-133
116,M-1958-15,R-210
117,M-1958-16,R-306
118,M-1958-17,R-455
119,M-1958-18,R-138
120,M-1958-19,R-079
121,M-1958-20,R-366
122,M-1958-21,R-262
123,M-1958-22,R-140
