referee_appointment_id,tournament_id,referee_id
1,WC-1930,R-039
2,WC-1930,R-091
3,WC-1930,R-116
4,WC-1930,R-236
5,WC-1930,R-251
6,WC-1930,R-260
7,WC-1930,R-280
8,WC-1930,R-391
9,WC-1930,R-430
10,WC-1930,R-449
11,WC-1930,R-472
12,WC-1934,R-034
13,WC-1934,R-041
14,WC-1934,R-054
15,WC-1934,R-056
16,WC-1934,R-065
17,WC-1934,R-082
18,WC-1934,R-135
19,WC-1934,R-236
20,WC-1934,R-284
21,WC-1934,R-296
22,WC-1934,R-454
23,WC-1938,R-034
24,WC-1938,R-041
25,WC-1938,R-054
26,WC-1938,R-056
27,WC-1938,R-080
28,WC-1938,R-100
29,WC-1938,R-135
30,WC-1938,R-226
31,WC-1938,R-236
32,WC-1938,R-241
33,WC-1938,R-393
34,WC-1938,R-470
35,WC-1938,R-483
36,WC-1950,R-031
37,WC-1950,R-114
38,WC-1950,R-135
39,WC-1950,R-138
40,WC-1950,R-159
41,WC-1950,R-165
42,WC-1950,R-179
43,WC-1950,R-240
44,WC-1950,R-258
45,WC-1950,R-267
46,WC-1950,R-300
47,WC-1950,R-365
48,WC-1950,R-451
49,WC-1950,R-465
50,WC-1954,R-028
51,WC-1954,R-107
52,WC-1954,R-138
53,WC-1954,R-148
54,WC-1954,R-152
55,WC-1954,R-179
56,WC-1954,R-248
57,WC-1954,R-270
58,WC-1954,R-326
59,WC-1954,R-395
60,WC-1954,R-420
61,WC-1954,R-421
62,WC-1954,R-465
63,WC-1954,R-467
64,WC-1954,R-484
65,WC-1954,R-492
66,WC-1958,R-009
67,WC-1958,R-068
68,WC-1958,R-079
69,WC-1958,R-095
70,WC-1958,R-133
71,WC-1958,R-138
72,WC-1958,R-140
73,WC-1958,R-163
74,WC-1958,R-179
75,WC-1958,R-183
76,WC-1958,R-210
77,WC-1958,R-240
78,WC-1958,R-242
79,WC-1958,R-245
80,WC-1958,R-262
81,WC-1958,R-306
82,WC-1958,R-326
83,WC-1958,R-366
84,WC-1958,R-399
85,WC-1958,R-455
86,WC-1958,R-484
87,WC-1958,R-492
88,WC-1962,R-030
89,WC-1962,R-059
90,WC-1962,R-073
91,WC-1962,R-115
92,WC-1962,R-125
93,WC-1962,R-128
94,WC-1962,R-133
95,WC-1962,R-146
96,WC-1962,R-158
97,WC-1962,R-163
98,WC-1962,R-195
99,WC-1962,R-208
100,WC-1962,R-245
101,WC-1962,R-375
102,WC-1962,R-398
103,WC-1962,R-421
104,WC-1962,R-433
105,WC-1962,R-486
106,WC-1966,R-003
107,WC-1966,R-029
108,WC-1966,R-036
109,WC-1966,R-077
110,WC-1966,R-079
111,WC-1966,R-095
112,WC-1966,R-109
113,WC-1966,R-125
114,WC-1966,R-150
115,WC-1966,R-158
116,WC-1966,R-163
117,WC-1966,R-172
118,WC-1966,R-214
119,WC-1966,R-225
120,WC-1966,R-250
121,WC-1966,R-252
122,WC-1966,R-271
123,WC-1966,R-288
124,WC-1966,R-344
125,WC-1966,R-385
126,WC-1966,R-398
127,WC-1966,R-440
128,WC-1966,R-486
129,WC-1966,R-489
130,WC-1966,R-492
131,WC-1970,R-008
132,WC-1970,R-036
133,WC-1970,R-043
134,WC-1970,R-115
135,WC-1970,R-118
136,WC-1970,R-171
137,WC-1970,R-194
138,WC-1970,R-214
139,WC-1970,R-223
140,WC-1970,R-234
141,WC-1970,R-254
142,WC-1970,R-259
143,WC-1970,R-274
144,WC-1970,R-319
145,WC-1970,R-329
146,WC-1970,R-358
147,WC-1970,R-371
148,WC-1970,R-392
149,WC-1970,R-394
150,WC-1970,R-427
151,WC-1970,R-429
152,WC-1970,R-440
153,WC-1970,R-456
154,WC-1970,R-466
155,WC-1970,R-486
156,WC-1974,R-023
157,WC-1974,R-032
158,WC-1974,R-043
159,WC-1974,R-061
160,WC-1974,R-115
