referee_id,family_name,given_name,female,country_name,confederation_id
R-001,Abdel-Fatah,Essam,0,Egypt,CF-2
R-002,Abidoye,Bola Elizabeth,1,Nigeria,CF-2
R-003,Adair,John,0,Northern Ireland,CF-6
R-004,Adámková,Jana,1,Czech Republic,CF-6
R-005,Agboyi,Xonam,1,Togo,CF-2
R-006,Agnolin,Luigi,0,Italy,CF-6
R-007,Aguilar,Joel,0,El Salvador,CF-3
R-008,Aguilar Elizalde,Abel,0,Mexico,CF-3
R-009,Ahlner,Sten,0,Sweden,CF-6
R-010,Al-Doy,Ibrahim Youssef,0,Bahrain,CF-1
R-011,Al-Ghamdi,Khalil,0,Saudi Arabia,CF-1
R-012,Al-Ghandour,Gamal,0,Egypt,CF-2
R-013,Al-Jassim,Abdulrahman,0,Qatar,CF-1
R-014,Al-Shanar,Fallaj,0,Saudi Arabia,CF-1
R-015,Al-Sharif,Jamal,0,Syria,CF-1
R-016,Albon,Teodora,1,Romania,CF-6
R-017,Alghoul,Yousef,0,Libya,CF-2
R-018,Alvarado,Quetzalli,1,Mexico,CF-3
R-019,Álvarez,Estela,1,Argentina,CF-4
R-020,Alves Batista,Edina,1,Brazil,CF-4
R-021,Amarilla,Carlos,0,Paraguay,CF-4
R-022,Angeles,Arturo,0,United States,CF-3
R-023,Angonese,Aurelio,0,Italy,CF-6
R-024,Aquino,Ubaldo,0,Paraguay,CF-4
R-025,Archundia,Benito,0,Mexico,CF-3
R-026,Aristizábal,Gilberto,0,Colombia,CF-4
R-027,Arppi Filho,Romualdo,0,Brazil,CF-4
R-028,Asensi,Manuel,0,Spain,CF-6
R-029,Ashkenazi,Menachem,0,Israel,CF-6
R-030,Aston,Kenneth,0,England,CF-6
R-031,Azón Romá,Ramón,0,Spain,CF-6
R-032,Babacan,Doğan,0,Turkey,CF-6
R-033,Badilla,Rodrigo,0,Costa Rica,CF-3
R-034,Baert,Louis,0,Belgium,CF-6
R-035,Baharmast,Esfandiar,0,United States,CF-3
R-036,Bahramov,Tofiq,0,Soviet Union,CF-6
R-037,Baldas,Fabio,0,Italy,CF-6
R-038,Baldassi,Héctor,0,Argentina,CF-4
R-039,Balvay,Thomas,0,France,CF-6
R-040,Bambridge,Chris,0,Australia,CF-1
R-041,Barlassina,Rinaldo,0,Italy,CF-6
R-042,Barrancos,Luis,0,Bolivia,CF-4
R-043,Barreto Ruíz,Ramón,0,Uruguay,CF-4
R-044,Barton,Iván,0,El Salvador,CF-3
R-045,Batres,Carlos Alberto,0,Guatemala,CF-3
R-046,Batta,Marc,0,France,CF-6
R-047,Beath,Chris,0,Australia,CF-1
R-048,Beaudoin,Marie-Soleil,1,Canada,CF-3
R-049,Beck,Christine,1,Germany,CF-6
R-050,Belqola,Said,0,Morocco,CF-2
R-051,Benkö,Günter,0,Austria,CF-6
R-052,Bennett,Jennifer,1,United States,CF-3
R-053,Benquerença,Olegário,0,Portugal,CF-6
R-054,Beranek,Alois,0,Austria,CF-6
R-055,Bin Nasser,Ali,0,Tunisia,CF-2
R-056,Birlem,Alfred,0,Germany,CF-6
R-057,Biwersi,Ferdinand,0,West Germany,CF-6
R-058,Black,Linda May,1,New Zealand,CF-5
R-059,Blavier,Antoine,0,Belgium,CF-6
R-060,Borjas,Melissa,1,Honduras,CF-3
R-061,Boskovic,Tony,0,Australia,CF-1
R-062,Boucetta,Fethi,0,Tunisia,CF-2
R-063,Bouchardeau,Lucien,0,Niger,CF-2
R-064,Bouzo,Farouk,0,Syria,CF-1
R-065,Braun,Eugen,0,Austria,CF-6
R-066,Braz,Sandra,1,Portugal,CF-6
R-067,Brizio Carter,Arturo,0,Mexico,CF-3
R-068,Bronkhorst,Jan,0,Netherlands,CF-6
R-069,Brummeier,Horst,0,Austria,CF-6
R-070,Brych,Felix,0,Germany,CF-6
R-071,Bujsaim,Ali,0,United Arab Emirates,CF-1
R-072,Busacca,Massimo,0,Switzerland,CF-6
R-073,Bustamante,Sergio,0,Chile,CF-4
R-074,Butenko,Valeri,0,Soviet Union,CF-6
R-075,Cáceres,Enrique,0,Paraguay,CF-4
R-076,Çakır,Cüneyt,0,Turkey,CF-6
R-077,Callaghan,Leo,0,Wales,CF-6
R-078,Camara,Engage,0,Guinea,CF-2
R-079,Campos,Joaquim,0,Portugal,CF-6
R-080,Capdeville,Georges,0,France,CF-6
R-081,Cardellino,Juan Daniel,0,Uruguay,CF-4
R-082,Carraro,Albino,0,Italy,CF-6
R-083,Carvajal,María,1,Chile,CF-4
R-084,Casarin,Paolo,0,Italy,CF-6
R-085,Castrilli,Javier,0,Argentina,CF-4
R-086,Castro,Gastón,0,Chile,CF-4
R-087,Cavani,Filippi,0,Uruguay,CF-4
R-088,Cha,Sung-mi,1,South Korea,CF-1
R-089,Chan,Tam Sun,0,Hong Kong,CF-1
R-090,Chenard,Carol Anne,1,Canada,CF-3
R-091,Christophe,Henri,0,Belgium,CF-6
R-092,Christov,Vojtěch,0,Czechoslovakia,CF-6
R-093,Claus,Raphael,0,Brazil,CF-4
R-094,Codesal,Edgardo,0,Mexico,CF-3
R-095,Codesal,José María,0,Uruguay,CF-4
R-096,Codjia,Coffi,0,Benin,CF-1
R-097,Coelho,Arnaldo Cézar,0,Brazil,CF-4
R-098,Collina,Pierluigi,0,Italy,CF-6
R-099,Conger,Matthew,0,New Zealand,CF-5
R-100,Conrié,Roger,0,France,CF-6
R-101,Contreras,Marisela,1,Venezuela,CF-4
R-102,Correa,Adriana,1,Colombia,CF-4
R-103,Corver,Charles,0,Netherlands,CF-6
R-104,Coulibaly,Koman,0,Mali,CF-2
R-105,Courtney,George,0,England,CF-6
R-106,Cunha,Andrés,0,Uruguay,CF-4
R-107,da Costa Vieira,Jose,0,Portugal,CF-6
R-108,Daami,Mourad,0,Tunisia,CF-2
R-109,Dagnall,Ken,0,England,CF-6
R-110,Daina,André,0,Switzerland,CF-6
R-111,Dallas,Hugh,0,Scotland,CF-6
R-112,Damková,Dagmar,1,Czech Republic,CF-6
R-113,Damon,Jerome,0,South Africa,CF-2
R-114,Dattilo,Generoso,0,Italy,CF-6
R-115,Davidson,Bobby,0,Scotland,CF-6
R-116,de Almeida Rêgo,Gilberto,0,Brazil,CF-4
R-117,De Bleeckere,Frank,0,Belgium,CF-6
R-118,De Leo,Diego,0,Mexico,CF-3
R-119,Delgado Gómez,Omar,0,Colombia,CF-4
R-120,Denoncourt,Sonia,1,Canada,CF-3
R-121,di Iorio,Salomé,1,Argentina,CF-4
R-122,Díaz,Jesús,0,Colombia,CF-4
R-123,Díaz Vega,Manuel,0,Spain,CF-6
R-124,Diedhiou,Malang,0,Senegal,CF-2
R-125,Dienst,Gottfried,0,Switzerland,CF-6
R-126,Domka,Margaret,1,United States,CF-3
R-127,Don,Philip,0,England,CF-6
R-128,Dorogi,Andor,0,Hungary,CF-6
R-129,Dotchev,Bogdan,0,Bulgaria,CF-6
R-130,Doué,Noumandiez,0,Ivory Coast,CF-2
R-131,Dubach,Jean,0,Switzerland,CF-6
R-132,Durkin,Paul,0,England,CF-6
R-133,Dusch,Albert,0,West Germany,CF-6
R-134,Dwomoh,Benjamin,0,Ghana,CF-2
R-135,Eklind,Ivan,0,Sweden,CF-6
R-136,Elfath,Ismail,0,United States,CF-3
R-137,Elizondo,Horacio,0,Argentina,CF-4
R-138,Ellis,Arthur Edward,0,England,CF-6
R-139,Elovirta,Katriina,1,Finland,CF-6
R-140,Eriksson,Arne,0,Finland,CF-6
R-141,Eriksson,Jonas,0,Sweden,CF-6
R-142,Eriksson,Ulf,0,Sweden,CF-6
R-143,Eschweiler,Walter,0,West Germany,CF-6
R-144,Escobar,Mario,0,Guatemala,CF-3
R-145,Espósito,Carlos,0,Argentina,CF-4
R-146,Etzel Filho,João,0,Brazil,CF-4
R-147,Faghani,Alireza,0,Iran,CF-1
R-148,Faultless,Charlie,0,Scotland,CF-6
R-149,Ferreira-James,Dianne,1,Guyana,CF-3
R-150,Finney,Jim,0,England,CF-6
R-151,Fortunato,Laura,1,Argentina,CF-4
R-152,Franken,Laurent,0,Belgium,CF-6
R-153,Frappart,Stéphanie,1,France,CF-6
R-154,Fredriksson,Erik,0,Sweden,CF-6
R-155,Frisk,Anders,0,Sweden,CF-6
R-156,Fukano,Etsuko,1,Japan,CF-1
R-157,Gaál,Gyöngyi,1,Hungary,CF-6
R-158,Galba,Karol,0,Czechoslovakia,CF-6
R-159,Galeati,Giovanni,0,Italy,CF-6
R-160,Galler,Bruno,0,Switzerland,CF-6
R-161,Gamboa,Eduardo,0,Chile,CF-4
R-162,Gani,Rita,1,Malaysia,CF-1
R-163,Garay Gardeazábal,Juan,0,Spain,CF-6
R-164,García-Aranda,José María,0,Spain,CF-6
R-165,Gardelli,Mário,0,Brazil,CF-4
R-166,Garrido,António,0,Portugal,CF-6
R-167,Gassama,Bakary,0,Gambia,CF-2
R-168,Gaye,Fatou,1,Senegal,CF-2
R-169,Geiger,Mark,0,United States,CF-3
R-170,Ghorbal,Mustapha,0,Algeria,CF-2
R-171,Glöckner,Rudi,0,East Germany,CF-6
R-172,Goicoechea,Roberto,0,Argentina,CF-4
R-173,Gomes,Victor,0,South Africa,CF-2
R-174,Gonella,Sergio,0,Italy,CF-6
R-175,González,Epifanio,0,Paraguay,CF-4
R-176,González,Gabriel,0,Paraguay,CF-4
R-177,González Archundía,Alfonso,0,Mexico,CF-3
R-178,Gordon,John,0,Scotland,CF-6
R-179,Griffiths,Sandy,0,Wales,CF-6
R-180,Grisha,Gehad,0,Egypt,CF-2
R-181,Guerrero Orosco,César,0,Peru,CF-4
R-182,Guezzaz,Mohamed,0,Morocco,CF-2
R-183,Guigue,Maurice,0,France,CF-6
R-184,Günthner,Elke,1,Germany,CF-6
R-185,Haimoudi,Djamel,0,Algeria,CF-2
R-186,Hall,Brian,0,United States,CF-3
R-187,Hamer,Alain,0,Luxembourg,CF-6
R-188,Hassan Mohamed,Mohammed Abdulla,0,United Arab Emirates,CF-1
R-189,Hauge,Terje,0,Norway,CF-6
R-190,Heikkinen,Kirsi,1,Finland,CF-6
R-191,Hepburn,Catherine Leann,1,United States,CF-3
R-192,Hester,Michael,0,New Zealand,CF-5
R-193,Heynemann,Bernd,0,Germany,CF-6
R-194,Hormazábal Díaz,Rafael,0,Chile,CF-4
R-195,Horn,Leo,0,Netherlands,CF-6
R-196,Hunt,Sandra,1,United States,CF-3
R-197,Hussein,Riem,1,Germany,CF-6
R-198,Igna,Ioan,0,Romania,CF-6
R-199,Im,Eun-ju,1,South Korea,CF-1
R-200,Imperatore,Salvador,0,Chile,CF-4
R-201,Ionescu,Cristina,1,Romania,CF-6
R-202,Irmatov,Ravshan,0,Uzbekistan,CF-1
R-203,Ithurralde,Arturo,0,Argentina,CF-4
R-204,Ivanov,Valentin,0,Russia,CF-6
R-205,Jacewicz,Kate,1,Australia,CF-1
R-206,Jácome,Elías,0,Ecuador,CF-4
R-207,Jarguz,Alojzy,0,Poland,CF-6
R-208,Jonni,Cesare,0,Italy,CF-6
R-209,Jonsson,Ingrid,1,Sweden,CF-6
R-210,Jørgensen,Carl,0,Denmark,CF-6
R-211,Jouini,Neji,0,Tunisia,CF-2
R-212,Kamikawa,Toru,0,Japan,CF-1
R-213,Kamnueng,Pannipar,1,Thailand,CF-1
R-214,Kandil,Ali,0,United Arab Republic,CF-2
R-215,Karasev,Sergei,0,Russia,CF-6
R-216,Karlsson,Bo,0,Sweden,CF-6
R-217,Kassai,Viktor,0,Hungary,CF-6
R-218,Kazakov,Pavel,0,Soviet Union,CF-6
R-219,Keighley,Anna-Marie,1,New Zealand,CF-5
R-220,Keizer,Jan,0,Netherlands,CF-6
R-221,Kim,Young-joo,0,South Korea,CF-1
R-222,Kirschen,Siegfried,0,East Germany,CF-6
R-223,Klein,Abraham,0,Israel,CF-6
R-224,Kohl,Helmut,0,Austria,CF-6
R-225,Kreitlein,Rudolf,0,West Germany,CF-6
R-226,Krist,Augustin,0,Czechoslovakia,CF-6
R-227,Krug,Hellmut,0,Germany,CF-6
R-228,Kuipers,Björn,0,Netherlands,CF-6
R-229,Kulcsár,Katalin,1,Hungary,CF-6
R-230,Labo Revoredo,Enrique,0,Peru,CF-4
R-231,Lacarne,Belaïd,0,Algeria,CF-2
R-232,Lamo Castillo,Augusto,0,Spain,CF-6
R-233,Lamolina,Francisco Oscar,0,Argentina,CF-4
R-234,Landauer,Henry,0,United States,CF-3
R-235,Lanese,Tullio,0,Italy,CF-6
R-236,Langenus,John,0,Belgium,CF-6
R-237,Lannoy,Stéphane,0,France,CF-6
