substitution_id,match_id,team_id,player_id,minute_label,minute_regulation,minute_stoppage,match_period,going_off,coming_on
S-0001,M-1970-01,T-72,P-60181,46',46,0,second half,1,0
S-0002,M-1970-01,T-72,P-59828,46',46,0,second half,0,1
S-0003,M-1970-01,T-72,P-43733,66',66,0,second half,1,0
S-0004,M-1970-01,T-72,P-98262,66',66,0,second half,0,1
S-0005,M-1970-01,T-46,P-32657,67',67,0,second half,1,0
S-0006,M-1970-01,T-46,P-96873,67',67,0,second half,0,1
S-0007,M-1970-02,T-84,P-47892,12',12,0,first half,1,0
S-0008,M-1970-02,T-84,P-82186,12',12,0,first half,0,1
S-0009,M-1970-02,T-40,P-86314,46',46,0,second half,1,0
S-0010,M-1970-02,T-40,P-08449,46',46,0,second half,0,1
S-0011,M-1970-02,T-40,P-37385,57',57,0,second half,1,0
S-0012,M-1970-02,T-40,P-60216,57',57,0,second half,0,1
S-0013,M-1970-03,T-28,P-79568,51',51,0,second half,1,0
S-0014,M-1970-03,T-28,P-22176,51',51,0,second half,0,1
S-0015,M-1970-03,T-61,P-21011,73',73,0,second half,1,0
S-0016,M-1970-03,T-61,P-50489,73',73,0,second half,0,1
S-0017,M-1970-03,T-28,P-88728,75',75,0,second half,1,0
S-0018,M-1970-03,T-28,P-11917,75',75,0,second half,0,1
S-0019,M-1970-04,T-56,P-30953,29',29,0,first half,1,0
S-0020,M-1970-04,T-56,P-38889,29',29,0,first half,0,1
S-0021,M-1970-04,T-56,P-64457,51',51,0,second half,1,0
S-0022,M-1970-04,T-56,P-49357,51',51,0,second half,0,1
S-0023,M-1970-04,T-10,P-02372,59',59,0,second half,1,0
S-0024,M-1970-04,T-10,P-28376,59',59,0,second half,0,1
S-0025,M-1970-04,T-10,P-63835,73',73,0,second half,1,0
S-0026,M-1970-04,T-10,P-72803,73',73,0,second half,0,1
S-0027,M-1970-05,T-27,P-98965,67',67,0,second half,1,0
S-0028,M-1970-05,T-27,P-54377,67',67,0,second half,0,1
S-0029,M-1970-05,T-06,P-67478,79',79,0,second half,1,0
S-0030,M-1970-05,T-06,P-42364,79',79,0,second half,0,1
S-0031,M-1970-05,T-27,P-83098,80',80,0,second half,1,0
S-0032,M-1970-05,T-27,P-86181,80',80,0,second half,0,1
S-0033,M-1970-06,T-41,P-77413,37',37,0,first half,1,0
S-0034,M-1970-06,T-41,P-45085,37',37,0,first half,0,1
S-0035,M-1970-06,T-74,P-61735,68',68,0,second half,1,0
S-0036,M-1970-06,T-74,P-71589,68',68,0,second half,0,1
S-0037,M-1970-06,T-74,P-86931,80',80,0,second half,1,0
