team_performance_id,tournament_id,team_id,count_matches,performance
TP-1,WC-1930,T-03,5,final
TP-2,WC-1930,T-06,2,group stage
TP-3,WC-1930,T-07,2,group stage
TP-4,WC-1930,T-09,2,group stage
TP-5,WC-1930,T-13,3,group stage
TP-6,WC-1930,T-30,3,group stage
TP-7,WC-1930,T-46,3,group stage
TP-8,WC-1930,T-55,2,group stage
TP-9,WC-1930,T-56,2,group stage
TP-10,WC-1930,T-61,2,group stage
TP-11,WC-1930,T-83,3,semi-finals
TP-12,WC-1930,T-84,4,final
TP-13,WC-1930,T-87,3,semi-finals
TP-14,WC-1934,T-03,1,round of 16
TP-15,WC-1934,T-05,4,third-place match
TP-16,WC-1934,T-06,1,round of 16
TP-17,WC-1934,T-09,1,round of 16
TP-18,WC-1934,T-21,4,final
TP-19,WC-1934,T-26,1,round of 16
TP-20,WC-1934,T-30,1,round of 16
TP-21,WC-1934,T-31,4,third-place match
TP-22,WC-1934,T-36,2,quarter-finals
TP-23,WC-1934,T-41,5,final
TP-24,WC-1934,T-48,1,round of 16
TP-25,WC-1934,T-61,1,round of 16
TP-26,WC-1934,T-73,3,quarter-finals
TP-27,WC-1934,T-74,2,quarter-finals
TP-28,WC-1934,T-75,2,quarter-finals
TP-29,WC-1934,T-83,1,round of 16
TP-30,WC-1938,T-06,1,round of 16
TP-31,WC-1938,T-09,5,third-place match
TP-32,WC-1938,T-19,3,quarter-finals
TP-33,WC-1938,T-21,3,quarter-finals
TP-34,WC-1938,T-23,1,round of 16
TP-35,WC-1938,T-30,2,quarter-finals
TP-36,WC-1938,T-31,2,round of 16
TP-37,WC-1938,T-36,4,final
TP-38,WC-1938,T-41,4,final
TP-39,WC-1938,T-48,1,round of 16
TP-40,WC-1938,T-53,1,round of 16
TP-41,WC-1938,T-57,1,round of 16
TP-42,WC-1938,T-61,2,round of 16
TP-43,WC-1938,T-74,3,third-place match
TP-44,WC-1938,T-75,3,quarter-finals
TP-45,WC-1950,T-07,1,group stage
TP-46,WC-1950,T-09,6,final round
TP-47,WC-1950,T-13,3,group stage
TP-48,WC-1950,T-28,3,group stage
TP-49,WC-1950,T-41,2,group stage
TP-50,WC-1950,T-46,3,group stage
TP-51,WC-1950,T-55,2,group stage
TP-52,WC-1950,T-73,6,final round
TP-53,WC-1950,T-74,5,final round
TP-54,WC-1950,T-75,3,group stage
TP-55,WC-1950,T-83,3,group stage
TP-56,WC-1950,T-84,4,final round
TP-57,WC-1950,T-87,3,group stage
TP-58,WC-1954,T-05,5,third-place match
TP-59,WC-1954,T-06,2,group stage
TP-60,WC-1954,T-09,3,quarter-finals
TP-61,WC-1954,T-21,2,group stage
TP-62,WC-1954,T-28,3,quarter-finals
TP-63,WC-1954,T-30,2,group stage
TP-64,WC-1954,T-36,5,final
TP-65,WC-1954,T-41,3,group stage
TP-66,WC-1954,T-46,2,group stage
TP-67,WC-1954,T-64,2,group stage
TP-68,WC-1954,T-71,2,group stage
TP-69,WC-1954,T-75,4,quarter-finals
TP-70,WC-1954,T-80,3,group stage
TP-71,WC-1954,T-84,5,third-place match
TP-72,WC-1954,T-86,6,final
TP-73,WC-1954,T-87,3,quarter-finals
TP-74,WC-1958,T-03,3,group stage
TP-75,WC-1958,T-05,3,group stage
TP-76,WC-1958,T-09,6,final
TP-77,WC-1958,T-21,4,group stage
TP-78,WC-1958,T-28,4,group stage
TP-79,WC-1958,T-30,6,third-place match
TP-80,WC-1958,T-36,4,group stage
TP-81,WC-1958,T-46,3,group stage
TP-82,WC-1958,T-52,5,quarter-finals
TP-83,WC-1958,T-55,3,group stage
TP-84,WC-1958,T-64,3,group stage
TP-85,WC-1958,T-72,5,quarter-finals
TP-86,WC-1958,T-74,6,final
TP-87,WC-1958,T-85,5,quarter-finals
