team_id,team_name,team_code,federation_name,region_name,confederation_id
T-01,Algeria,DZA,Algerian Football Federation,Africa,CF-2
T-02,Angola,AGO,Angolan Football Federation,Africa,CF-2
T-03,Argentina,ARG,Argentine Football Association,South America,CF-4
T-04,Australia,AUS,Football Australia,Oceania,CF-1
T-05,Austria,AUT,Austrian Football Association,Europe,CF-6
T-06,Belgium,BEL,Royal Belgian Football Association,Europe,CF-6
T-07,Bolivia,BOL,Bolivian Football Federation,South America,CF-4
T-08,Bosnia and Herzegovina,BIH,Football Association of Bosnia and Herzegovina,Europe,CF-6
T-09,Brazil,BRA,Brazilian Football Confederation,South America,CF-4
T-10,Bulgaria,BGR,Bulgarian Football Union,Europe,CF-6
T-11,Cameroon,CMR,Cameroonian Football Federation,Africa,CF-2
T-12,Canada,CAN,Canadian Soccer Association,North America,CF-3
T-13,Chile,CHL,Football Federation of Chile,South America,CF-4
T-14,China,CHN,Chinese Football Association,East Asia,CF-1
T-15,Chinese Taipei,TWN,Chinese Taipei Football Association,East Asia,CF-1
T-16,Colombia,COL,Colombia Football Federation,South America,CF-4
T-17,Costa Rica,CRI,Costa Rican Football Federation,Central America,CF-3
T-18,Croatia,HRV,Croatian Football Federation,Europe,CF-6
T-19,Cuba,CUB,Football Association of Cuba,Caribbean,CF-3
T-20,Czech Republic,CZE,Football Association of the Czech Republic,Europe,CF-6
T-21,Czechoslovakia,CSK,Football Association of the Czechoslovakia,Europe,CF-6
T-22,Denmark,DNK,Danish Football Association,Europe,CF-6
T-23,Dutch East Indies,IDN,Football Association of Indonesia,South East Asia,CF-1
T-24,East Germany,DDR,Football Association of East Germany,Europe,CF-6
T-25,Ecuador,ECU,Ecuadorian Football Federation,South America,CF-4
T-26,Egypt,EGY,Egyptian Football Association,Africa,CF-2
T-27,El Salvador,SLV,Salvadorian Football Federation,Central America,CF-3
T-28,England,ENG,The Football Association,Europe,CF-6
T-29,Equatorial Guinea,GNQ,Equatoguinean Football Federation,Africa,CF-2
T-30,France,FRA,French Football Association,Europe,CF-6
T-31,Germany,DEU,Germany Football Association,Europe,CF-6
T-32,Ghana,GHA,Ghana Football Association,Africa,CF-2
T-33,Greece,GRC,Hellenic Football Associaiton,Europe,CF-6
