tournament_standing_id,tournament_id,team_id,position
1,WC-1930,T-84,1
2,WC-1930,T-03,2
3,WC-1930,T-83,3
4,WC-1930,T-87,4
5,WC-1934,T-41,1
6,WC-1934,T-21,2
7,WC-1934,T-31,3
8,WC-1934,T-05,4
9,WC-1938,T-41,1
10,WC-1938,T-36,2
11,WC-1938,T-09,3
12,WC-1938,T-74,4
13,WC-1950,T-84,1
14,WC-1950,T-09,2
15,WC-1950,T-74,3
16,WC-1950,T-73,4
17,WC-1954,T-86,1
18,WC-1954,T-36,2
19,WC-1954,T-05,3
20,WC-1954,T-84,4
21,WC-1958,T-09,1
22,WC-1958,T-74,2
23,WC-1958,T-30,3
24,WC-1958,T-86,4
25,WC-1962,T-09,1
26,WC-1962,T-21,2
27,WC-1962,T-13,3
28,WC-1962,T-87,4
29,WC-1966,T-28,1
30,WC-1966,T-86,2
31,WC-1966,T-58,3
32,WC-1966,T-72,4
33,WC-1970,T-09,1
34,WC-1970,T-41,2
35,WC-1970,T-86,3
36,WC-1970,T-84,4
37,WC-1974,T-86,1
38,WC-1974,T-48,2
39,WC-1974,T-57,3
40,WC-1974,T-09,4
41,WC-1978,T-03,1
42,WC-1978,T-48,2
43,WC-1978,T-09,3
44,WC-1978,T-41,4
45,WC-1982,T-41,1
46,WC-1982,T-86,2
47,WC-1982,T-57,3
48,WC-1982,T-30,4
49,WC-1986,T-03,1
50,WC-1986,T-86,2
51,WC-1986,T-30,3
52,WC-1986,T-06,4
53,WC-1990,T-86,1
54,WC-1990,T-03,2
55,WC-1990,T-41,3
56,WC-1990,T-28,4
61,WC-1994,T-09,1
62,WC-1994,T-41,2
63,WC-1994,T-74,3
64,WC-1994,T-10,4
69,WC-1998,T-30,1
70,WC-1998,T-09,2
71,WC-1998,T-18,3
72,WC-1998,T-48,4
77,WC-2002,T-09,1
78,WC-2002,T-31,2
79,WC-2002,T-80,3
80,WC-2002,T-71,4
85,WC-2006,T-41,1
86,WC-2006,T-30,2
87,WC-2006,T-31,3
88,WC-2006,T-58,4
93,WC-2010,T-73,1
94,WC-2010,T-48,2
95,WC-2010,T-31,3
96,WC-2010,T-84,4
101,WC-2014,T-31,1
102,WC-2014,T-03,2
103,WC-2014,T-48,3
104,WC-2014,T-09,4
109,WC-2018,T-30,1
110,WC-2018,T-18,2
111,WC-2018,T-06,3
112,WC-2018,T-28,4
117,WC-2022,T-03,1
118,WC-2022,T-30,2
119,WC-2022,T-18,3
120,WC-2022,T-47,4
